"","LOINC","LOINC_COUNT","PK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","ACTIVE_YN","MDM_LAST_UPDATE_DATE","MDM_INSERT_UPDATE_FLAG"
"1","0051531",8,10881004,"INTERFERON GAMMA","INTERFERON GAMMA",NA,"2018-03-15 08:00:48","U"
"2","103331-7",5,11918713,"RH FACTOR","RH FACTOR (LC)",NA,"2019-05-26 12:32:58","I"
"3","11575-5",61,171350,"RHEUMATOID FACTOR (REFL)","RHEUMATOID FACTOR (REFL)",NA,"2018-04-11 06:44:56","U"
"4","18185-8",122,17079003,"GESTATIONAL AGE (WEEKS)","GESTATIONAL AGE CALCULATED AT COLLECTION",NA,"2018-05-16 07:18:16","I"
"5","280602-2",17,12637003,"MTHFR C.1286A>C","MTHFR C.1286A>C",NA,"2016-05-24 20:08:19","I"
"6","2890-3",341,639008,"URINE PROTEIN/CREATININE MG/MG","URINE PROTEIN/CREATININE MG/MG",NA,"2016-05-24 20:08:19","I"
"7","3148-9",7105,14088003,"ACT PLUS","ACT PLUS",NA,"2016-09-30 07:00:17","I"
"8","34695-0",29,17004005,"VEGF QNT","VEGF QNT",NA,"2018-05-05 06:55:14","I"
"9","39478-6",7376,11740007,"PH TEMP CORRECTED VENOUS","PH VEN TEMP CORRECTED",NA,"2016-08-22 05:50:37","U"
"10","41613",5,8735070,"AMIKACIN","Q AMIKACIN",NA,"2016-05-24 20:08:19","I"
"11","4544-4",45523,881002,"HEMATOCRIT","HEMATOCRIT",NA,"2016-05-24 20:08:19","I"
"12","5778-7",1922,165327,"UA COLOR","ZZ COLOR",NA,"2016-05-24 20:08:19","I"
"13","5876-7",8387,14517004,"ASCORBIC ACID, UA","ASCORBIC ACID, UA",NA,"2017-05-16 05:11:42","I"
"14","6690-3",47418,794005,"WBC","WHITE BLOOD CELLS",NA,"2016-08-22 05:50:38","U"
"15","718-8",48139,885002,"HEMOGLOBIN","HEMOGLOBIN",NA,"2016-05-24 20:08:19","I"
"16","74217-8",3,17084003,"APIXABAN ANTI-XA","APIXABAN ANTI-XA",NA,"2018-05-03 06:44:09","I"
"17","777-4",47310,883003,"PLATELETS","PLATELETS",NA,"2016-05-24 20:08:19","I"
"18","785-7",40156,886003,"MEAN CELLULAR HEMOGLOBIN","MCH",NA,"2016-08-22 05:50:38","U"
"19","786-5",40091,879003,"MEAN CELLULAR HEMOGLOBIN CONCENTRATION","MCHC",NA,"2016-08-22 05:50:38","U"
"20","787-3",40219,882002,"MEAN CELLULAR VOLUME","MCV",NA,"2016-08-22 05:50:38","U"
"21","788-1",39186,880003,"RDW","RDW",NA,"2016-05-24 20:08:19","I"
"22","789-9",43666,884002,"RED BLOOD CELLS","RED BLOOD CELLS",NA,"2016-05-24 20:08:19","I"
"23","L4613",135,166872,"Q PROTEIN S, ANTIGEN","Q PROTEIN S, ANTIGEN",NA,"2016-05-24 20:08:19","I"
"24","L4985",933,165363,"QUAD RISK DOWN SYNDROME","Q QUAD RISK DOWN SYNDROME",NA,"2016-05-24 20:08:19","I"
"25","SOLOINC",57,12601012,"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE (LC)",NA,"2017-05-31 07:38:31","I"
"26","SOLOINC",57,12602011,"FLUOROMETHOLONE","FLUOROMETHOLONE (LC)",NA,"2017-05-31 07:38:31","I"
"27","SOLOINC",57,12604010,"FLUDROCORTISONE","FLUDROCORTISONE (LC)",NA,"2017-05-31 07:38:31","I"
"28","SOLOINC",57,12604013,"MEGESTROL ACETATE","MEGESTROL ACETATE (LC)",NA,"2017-05-31 07:38:31","I"
"29","SOLOINC",57,12601008,"DEXAMETHASONE","DEXAMETHASONE (LC)",NA,"2017-05-31 07:38:31","I"
"30","SOLOINC",57,12601010,"FLUNISOLIDE","FLUNISOLIDE (LC)",NA,"2017-05-31 07:38:31","I"
"31","SOLOINC",57,12604004,"BETAMETHASONE","BETAMETHASONE (LC)",NA,"2017-05-31 07:38:31","I"
"32","SOLOINC",57,12603013,"INTERPRETATION","INTERPRETATION (LC)",NA,"2016-11-11 07:05:52","I"
"33","SOLOINC",57,12602012,"PREDNISONE","PREDNISONE (LC)",NA,"2017-05-31 07:38:31","I"
"34","SOLOINC",57,12601013,"TRIAMCINOLONE","TRIAMCINOLONE (LC)",NA,"2017-05-31 07:38:31","I"
"35","SOLOINC",57,12601007,"DESMOSTEROL","DESMOSTEROL (LC)",NA,"2016-11-11 07:05:52","I"
"36","SOLOINC",57,12605009,"CAMPESTEROL","CAMPESTEROL (LC)",NA,"2016-11-11 07:05:52","I"
"37","SOLOINC",57,12433012,"HEPATITIS D IGM","HEPATITIS D IGM (LC)",NA,"2020-04-12 11:06:56","I"
"38","SOLOINC",57,12605013,"REVIEWED BY","REVIEWED BY (LC)",NA,"2016-11-11 07:05:52","I"
"39","SOLOINC",57,12604007,"BUDESONIDE","BUDESONIDE (LC)",NA,"2017-05-31 07:38:31","I"
"40","SOLOINC",57,12603012,"PREDNISOLONE","PREDNISOLONE (LC)",NA,"2017-05-31 07:38:31","I"
"41","SOLOINC",57,12604011,"SITOSTEROL","SITOSTEROL (LC)",NA,"2016-11-11 07:05:52","I"
"42","SOLOINC",57,12601014,"METHYLMALONIC ACID","METHYLMALONIC ACID (LC)",NA,"2019-10-15 11:46:32","I"
"43","SOLOINC",57,12433007,"PENICILLIUM DIGITATUM IGE","PENICILLIUM DIGITATUM IGE* (LC)",NA,"2017-03-23 05:12:34","I"
"44","SOLOINC",57,12433011,"BECLOMETHASONE DIPROPIONATE","BECLOMETHASONE DIPROPIONATE (LC)",NA,"2017-05-31 07:38:31","I"
"45","SOLOINC",57,12605008,"LATHOSTEROL","LATHOSTEROL (LC)",NA,"2016-11-11 07:05:52","I"
"46","SOLOINC",57,12605007,"CLASS INTERPRETATION","CLASS INTERPRETATION (LC)",NA,"2017-03-23 05:12:34","I"
"47","SOLOINC",57,12605012,"METHYLPREDNISOLONE","METHYLPREDNISOLONE (LC)",NA,"2017-05-31 07:38:31","I"
"48","SOLOINC",57,12604014,"TRIAMCINOLONE ACETONIDE","TRIAMCINOLONE ACETONIDE (LC)",NA,"2017-05-31 07:38:31","I"
"49","UPE18",2,13644019,"UR ABNORMAL PROTEIN BAND 1","UR ABNORMAL PROTEIN BAND 1",NA,"2016-07-01 08:31:50","I"
"50","X29142-7",1371,167356,"TOTAL METANEPHRINE","TOTAL METANEPHRINE",NA,"2016-05-24 20:08:19","I"
