Ontology ID	label	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	analyte	device	reagent	molecular label	input	output	target entity	objective	associated axioms
ID	A rdfs:label	AI has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A editor note SPLIT=|	A term editor SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE		C % SPLIT=|	C 'has part' some % SPLIT=|	C 'has part' some % SPLIT=|	C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))	C has_specified_input some %	C has_specified_output some %	C has_specified_output some ('is about' some %)	C achieves_planned_objective some %	C %
http://purl.obolibrary.org/obo/OBI_3100002	panel5 venous blood carbon dioxide assay			An analyte assay that measures the abundance of carbon dioxide in venous blood as part of a panel5 order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'carbon dioxide'								
http://purl.obolibrary.org/obo/OBI_3100003	panel5 venous blood sodium assay			An analyte assay that measures the abundance of sodium in venous blood as part of a panel5 order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'sodium molecular entity'								
http://purl.obolibrary.org/obo/OBI_3100004	panel5 venous blood creatinine assay			An analyte assay that measures the abundance of creatinine in venous blood as part of a panel5 order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'creatinine'								
http://purl.obolibrary.org/obo/OBI_3100005	panel5 venous blood potassium assay			An analyte assay that measures the abundance of potassium in venous blood as part of a panel5 order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'potassium molecular entity'								
http://purl.obolibrary.org/obo/OBI_3100006	automated differential venous blood basophil assay			A cytometry assay that measures the count of basophils in venous blood as part of a automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'basophil'		
http://purl.obolibrary.org/obo/OBI_3100007	automated differential venous blood neutrophil assay			A cytometry assay that measures the count of neutrophils in venous blood as part of a automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'neutrophil'		
http://purl.obolibrary.org/obo/OBI_3100008	automated differential venous blood eosinophil assay			A cytometry assay that measures the count of eosinophils in venous blood as part of a automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'eosinophil'		
http://purl.obolibrary.org/obo/OBI_3100009	automated differential venous blood lymphocyte assay			A cytometry assay that measures the count of lymphocytes in venous blood as part of a automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'lymphocyte'		
http://purl.obolibrary.org/obo/OBI_3100010	automated differential venous blood monocyte assay			A cytometry assay that measures the count of monocytes in venous blood as part of a automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'monocyte'		
http://purl.obolibrary.org/obo/OBI_3100011	venous blood chloride assay			An analyte assay that measures the abundance of chloride in venous blood	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'chloride'								
http://purl.obolibrary.org/obo/OBI_3100012	CBC with automated differential venous blood RBC assay			A cytometry assay that measures the count of RBCs in venous blood as part of a CBC with automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'erythrocyte'		
http://purl.obolibrary.org/obo/OBI_3100013	CBC with automated differential venous blood platelet assay			A cytometry assay that measures the count of platelets in venous blood as part of a CBC with automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'platelet'		
http://purl.obolibrary.org/obo/OBI_3100014	CBC with automated differential venous blood WBC assay			A cytometry assay that measures the count of WBCs in venous blood as part of a CBC with automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'leukocyte'		
http://purl.obolibrary.org/obo/OBI_3100015	CBC with automated differential venous blood RBC (hematocrit) assay			A cytometry assay that measures the count of RBC (hematocrit)s in venous blood as part of a CBC with automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'erythrocyte'		
http://purl.obolibrary.org/obo/OBI_3100016	CBC with automated differential venous blood hemoglobin assay			An analyte assay that measures the abundance of hemoglobin in venous blood as part of a CBC with automated differential order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'hemoglobin'								
http://purl.obolibrary.org/obo/OBI_3100017	venous blood phosphate assay			An analyte assay that measures the abundance of phosphate in venous blood	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'phosphate ion'								
http://purl.obolibrary.org/obo/OBI_3100018	liver injury venous blood ALT assay			An analyte assay that measures the abundance of ALT in venous blood as part of a liver injury order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'alanine aminotransferase'								
http://purl.obolibrary.org/obo/OBI_3100019	liver injury venous blood bilirubin assay			An analyte assay that measures the abundance of bilirubin in venous blood as part of a liver injury order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'bilirubin IXalpha'								
http://purl.obolibrary.org/obo/OBI_3100020	venous blood glucose assay			An analyte assay that measures the abundance of glucose in venous blood	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'glucose'								
http://purl.obolibrary.org/obo/OBI_3100021	venous blood magnesium assay			An analyte assay that measures the abundance of magnesium in venous blood	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'analyte assay'			'venous blood specimen'	'magnesium molecular entity'								
http://purl.obolibrary.org/obo/OBI_3100022	CBC venous blood RBC assay			A cytometry assay that measures the count of RBCs in venous blood as part of a CBC order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'erythrocyte'		
http://purl.obolibrary.org/obo/OBI_3100023	CBC venous blood WBC assay			A cytometry assay that measures the count of WBCs in venous blood as part of a CBC order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'leukocyte'		
http://purl.obolibrary.org/obo/OBI_3100024	CBC venous blood RBC (hematocrit) assay			A cytometry assay that measures the count of RBC (hematocrit)s in venous blood as part of a CBC order	PennTURBO team			Mark A. Miller, ORCID:0000-0001-9076-6066 & Chris Stoeckert, ORCID ORCID:0000-0002-5714-991X		https://github.com/obi-ontology/obi/issues/1253	subclass		'cytometry assay'			'venous blood specimen'							'erythrocyte'		
