PK_ORDER_ITEM_ID,count,assembled,cbc.bool,platelet.bool,diff.bool,electronic.diff.bool,automated.bool,manual.bool,blood.gas.bool,abl90.bool,gem.bool,arterial.bool,venous.bool,vented.bool,whole.blood.bool,hematocrit.bool,electrolyes.bool,ekg.bool,electrophoresis.bool,reticulocyte.bool,count.bool,bmp.bool,cmp.bool,hemaglobin.bool,hemoglobin.bool,coox.bool,a1c.bool,vitamin.bool,urine.bool,protime.bool,ptt.bool,protein.bool,crp.bool,cardiac.bool,neonatal.bool,liver.bool,fibrinogen.bool,glucose.bool,gtt.bool,csf.bool,fasting.bool,antibody.bool,bodily.fluid.bool,plasma.bool,serum.bool,poc.bool,phosphorous.bool,ph.bool,osmolarity.bool,creatinine.bool,ck.bool,twentyfour.bool,bilirubin.bool,total.bool,free.bool,direct.bool,indirect.bool,abo.bool,gfr.bool,level.bool,confirm.bool,screen.bool,reflex.bool,estimated.bool,lipid.bool,peak.bool,trough.bool,random.bool,cholesterol.bool,any.dl.bool,pulm.test.bool,spiro.bool,ORDER_ITEM_CODE,ORDER_ITEM_DESCRIPTION,ORDER_ITEM_TYPE,ORDER_ITEM_PRIMARY_TYPE,ORDER_ITEM_PRIMARY_TYPE_NONSTD
608200,20,CBC w platelets and differential,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC/Diff/Platelets,CBC/Diff/Platelets PAH,Lab PAH TIMED Times,DIAGNOSTIC,Diagnostic
977398,6750,CBC w platelets,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC PLT,CBC w/ Platelets,General Lab,LABORATORY,Laboratory
979407,456,CBC w platelets,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC PLT,PROF,General Lab,LABORATORY,Laboratory
616180,20,CBC w platelets,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC/Platelets,CBC/Platelets PAH,Lab PAH Times,DIAGNOSTIC,Diagnostic
977303,11,CBC w platelets,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC PLT,OHEMI,General Lab,LABORATORY,Laboratory
977282,18308,CBC with automated diff.,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBCAUTO,CBC w/ Auto Diff,General Lab,LABORATORY,Laboratory
611772,27,CBC with heme eval/profile,1,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC- w/out Diff (Heme Profile ),LEAN CBC- w/out Diff (Heme Profile ),Lab LEAN Collect RN,LABORATORY,Diagnostic
609043,198,CBC,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.CBC (w/o Diff),CBC without Diff Expired,Lab Times w Discharge,DIAGNOSTIC,Diagnostic
612150,228,CBC with electronic diff. ( = automated?) and heme eval/profile,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC W/Diff  (Heme Profile+Elect Diff),LEANCBCW/Diff (Heme Profile+Elect Diff),Lab LEAN Collect RN,LABORATORY,Diagnostic
594289,196,CBC with electronic diff. ( = automated?) and heme eval/profile,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001910,CBC W DIFF-HEME PROF+ELEC DIFF,LAB AUTOCOMPLETE,LABORATORY,Lab
593358,138,CBC with electronic diff. ( = automated?) and heme eval/profile,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001518,CBC W DIFF-HEME PROF+ELEC DIFF,LABORATORY,LABORATORY,Lab
606712,436,CBC with differential,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.-CBC with Diff,CBC with Diff Expired,Lab Times,DIAGNOSTIC,Diagnostic
1205801,63,CBC with differential,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L977709,CBC/DIFF AMBIGUOUS DEFAULT,QUEST/LABCORP LAB,LABORATORY,Lab
975471,356,CBC with automated diff.,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBCAUTO,CBC,General Lab,LABORATORY,Laboratory
602158,747,CBC with heme eval/profile,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001509,HEME PROFILE CBC,LAB BLOOD ORDERABLES,LABORATORY,Lab
597945,108,CBC with heme eval/profile,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001907,CBC(HEME EVALUATION I),LABORATORY,LABORATORY,Lab
593607,18,CBC with heme eval/profile,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001905,CBC(HEME EVALUATION I) INACTIVE,LABORATORY,LABORATORY,Lab
980293,1,"diff., electronic (for CBC?)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPLT,Reptilase Test,General Lab,LABORATORY,NA
602193,5242,"diff., electronic (for CBC?) with heme eval/profile",,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001490,HEME PROFILE + ELECT DIFF,LAB BLOOD ORDERABLES,LABORATORY,Lab
593602,136,"diff., electronic (for CBC?) with heme eval/profile",,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001485,HEME PROFILE + ELECTRONIC DIFF,LABORATORY,LABORATORY,Lab
977549,14260,"diff., automated (for CBC?)",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTODIF,_Automated Differential,General Lab,LABORATORY,Laboratory
602567,4676,"diff., automated (for CBC?)",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM200002,AUTOMATED DIFF,LAB BLOOD ORDERABLES,LABORATORY,Lab
975168,2723,"diff., manual (for CBC?)",,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-DIFF,Manual Diff,General Lab,LABORATORY,Laboratory
594361,619,"diff., manual (for CBC?)",,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2002512,MANUAL LEUKOCYTE DIFFERENTIAL,LABORATORY,LABORATORY,Lab
621213,52,"diff., manual (for CBC?)",,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.Manual Leukocyte Differential,LEAN Manual Leukocyte Differential,Lab LEAN Collect RN,LABORATORY,Diagnostic
1087769,14,"diff., manual (for CBC?)",,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q%415,"DIFFERENTIAL, MANUAL",QUEST/LABCORP LAB,LABORATORY,Lab
625890,10,diff. (for CBC?),,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Part Diff.,5 Part Diff PAH,Lab PAH Times,DIAGNOSTIC,Diagnostic
975058,274,"diff. (for CBC?), bodily fluid",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BF DIFF,Leukocyte Differential Body Fluid,General Lab,LABORATORY,Laboratory
977397,17,"diff. (for CBC?), bodily fluid",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BF DIFF,BF DIFF,General Lab,LABORATORY,Laboratory
594351,54,diff. (for CBC?),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2002520,OUTPATIENT DIFF,LABORATORY,LABORATORY,Lab
977687,43,diff. (for CBC?),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-DIFF,DIFF,General Lab,LABORATORY,Laboratory
598897,18,diff. (for CBC?),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2001522,FL DIFF,LABORATORY,LABORATORY,Lab
979549,22,"diff., automated (for CBC?) with reticulocytes",,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETIC,Reticulocyte Count Automated,General Lab,LABORATORY,NA
973197,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPERAG,Aspergillus Glactomannan Ag by EIA,General Lab,LABORATORY,Laboratory
974377,37,"Glucose, whole blood",,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBGL,Glucose -Whole Blood,General Lab,LABORATORY,Laboratory
978454,3,Hematocrit and Hemoglobin,,,,,,,0,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCT&HBG,Hemoglobin and Hematocrit,General Lab,LABORATORY,NA
981183,1,Glucose,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBGL,WBGL,General Lab,LABORATORY,Laboratory
974340,14,"blood gas, venous",,,,,,,1,,1,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEMVEN,GEM Premier Venous BG,General Lab,LABORATORY,Laboratory
600409,66,"blood gas, arterial, unvented, with pH",,,,,,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,C0400405,"BLOOD GAS ARTERIAL NON VENTED (PH, PCO2, PO2, HCO3, BASE EXCESS, O2SAT MEAS)",LAB BLOOD ORDERABLES,LABORATORY,Lab
975296,426,"blood gas, arterial, unvented",,,,,,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVABG,Blood Gas Arterial Non Vented,General Lab,LABORATORY,Laboratory
979262,54,"blood gas, arterial, unvented",,,,,,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVABG,Blood Gas Arterial Non Vented,General Lab,LABORATORY,Laboratory
600452,35,"blood gas, arterial, unvented, with pH",,,,,,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,C0400402,"BLOOD GAS ARTERIAL VENTED (PH, PCO2, PO2, HCO3,  O2SAT MEAS, BASE EXCESS)",LAB BLOOD ORDERABLES,LABORATORY,Lab
977162,598,"blood gas, arterial, vented",,,,,,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VABG,Blood Gas Arterial Vented,General Lab,LABORATORY,Laboratory
978355,21,"blood gas, arterial, vented",,,,,,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VABG,Blood Gas Arterial Vented,General Lab,LABORATORY,Laboratory
594136,108,"blood gas, venous",,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,C0400410,"BLOOD GAS VENOUS (PH, PCO2, PO2, HCO3, BASE EXCESS, O2SAT)",LAB BLOOD ORDERABLES,LABORATORY,Lab
977448,486,"blood gas, venous",,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBG,Blood Gas Venous,General Lab,LABORATORY,Laboratory
981050,66,"blood gas, venous",,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBG,Blood Gas Venous,General Lab,LABORATORY,Laboratory
