value,count,OBO,status,molent,ion,specimen,specimen_OBO,units,other details,indirect,direct,notes,24,POC,total
24HR URINE CREATININE,4,CHEBI:16737,,,,,UBERON:0001088,,,,,24 hour colelction objective,1,,
U24 Protein,7,,,,,,,,,,,24 hour colelction objective,2,,
U24 Urea,3,,,,,,,,,,,24 hour colelction objective,2,,
UPEP U24 Protein,2,,,,,,,,,,,24 hour colelction objective,7,,
PROTEIN TOTAL 24 HR UR,1,,,,,,,,,,,24 hour colelction objective,15,,TRUE
Urine Creatinine mg/dL,2,CHEBI:16737,,,,,UBERON:0001088,,,,,,#VALUE!,,
URINE PROTEIN/CREATININE MG/MG,10,,,,,,UBERON:0001088,,,,,,#VALUE!,,
URINE PROTEIN/CREATININE MG/G,9,,,,,,UBERON:0001088,,,,,,#VALUE!,,
URINE SODIUM (MMOL/L),3,CHEBI:26712,,TRUE,,,UBERON:0001088,,,,,,#VALUE!,,
Urine Total Volume,11,,,,,,,,,,,,#VALUE!,,TRUE
URINE TOTAL VOLUME,4,,,,,,,,,,,,#VALUE!,,TRUE
Urine Protein  mg/dL,2,,,,,,UBERON:0001088,,,,,,#VALUE!,,
URINE PROTEIN G/TV,2,,,,,,UBERON:0001088,,,,,,#VALUE!,,
WBC URINE,7,,,,,,UBERON:0001088,,,,,,#VALUE!,,
GLUCOSE URINE,10,CHEBI:17234,,,,,UBERON:0001088,,,,,,#VALUE!,,
ALBUMIN URINE,2,,,,,,UBERON:0001088,,,,,,#VALUE!,,
CREATININE URINE,33,CHEBI:16737,,,,,UBERON:0001088,,,,,,#VALUE!,,
MICROALBUMIN URINE,12,,,,,,UBERON:0001088,,,,,,#VALUE!,,
UREA NITROGEN URINE,2,,,,,,UBERON:0001088,,,,,,#VALUE!,,
Specific Gravity Urine,1,,,,,,,,,,,,#VALUE!,,
MICROALBUMIN CREATININE RATIO URINE,14,,,,,,,,,,,,#VALUE!,,
Lambda FLC,4,,,,,,,,,,,,#VALUE!,,
DUP BLD SMEAR HEME L,2,,,,,,,,,,,,#VALUE!,,
BLOOD EXPIRATION DATE,6,,,,,,,,,,,,#VALUE!,,
BLOOD TYPE,6,,,,,,,,,,,,#VALUE!,,
UA Blood,2,,,,,,UBERON:0000178,,,,,,#VALUE!,,
RED BLOOD CELLS,670,,,,,,,,,,,,#VALUE!,,
RED BLOOD CELLS FLUID,2,,,,,,,,,,,,#VALUE!,,
Whole Blood Glu Ven,1,CHEBI:17234,,,,,UBERON:0013756,,,,,,#VALUE!,,
Fluid Red Blood Cells,3,,,,,,,,,,,,#VALUE!,,
Fluid White Blood Cells,3,,,,,,,,,,,,#VALUE!,,
Glucose (Whole Blood),1,CHEBI:17234,,,,,UBERON:0000178,,,,,,#VALUE!,,
Creatinine Whole Blood,1,CHEBI:16737,,,,,UBERON:0000178,,,,,,#VALUE!,,
EBV PCR QUANT(WHOLE BLOOD),4,,,,,,UBERON:0000178,,,,,,#VALUE!,,
