"assay.label","label.specimen","label.measurand"
"Glucose, plasma assay for glucose in arterial blood","arterial blood","glucose"
"Glucose, whole blood assay for glucose in arterial blood","arterial blood","glucose"
"Creatinine, whole blood assay for creatinine in arterial blood","arterial blood","creatinine"
"Sodium and potassium assay for sodium molecular entity in arterial blood","arterial blood","sodium molecular entity"
"Sodium and potassium assay for potassium molecular entity in arterial blood","arterial blood","potassium molecular entity"
"NA assay for calcium(2+) in arterial blood","arterial blood","calcium(2+)"
"Chloride assay for chloride in arterial blood","arterial blood","chloride"
"Lactic acid assay for (S)-lactic acid in arterial blood","arterial blood","(S)-lactic acid"
"Chem8 (= metablic panel, basic?), POC assay for glucose in arterial blood","arterial blood","glucose"
"Chem8 (= metablic panel, basic?), POC assay for calcium(2+) in arterial blood","arterial blood","calcium(2+)"
"Chem8 (= metablic panel, basic?), POC assay for potassium molecular entity in arterial blood","arterial blood","potassium molecular entity"
"Chem8 (= metablic panel, basic?), POC assay for sodium molecular entity in arterial blood","arterial blood","sodium molecular entity"
"Chem8 (= metablic panel, basic?), POC assay for creatinine in arterial blood","arterial blood","creatinine"
"Chem8 (= metablic panel, basic?), POC assay for chloride in arterial blood","arterial blood","chloride"
"Chem8 (= metablic panel, basic?), POC assay for carbon dioxide in arterial blood","arterial blood","carbon dioxide"
"NA assay for (S)-lactic acid in arterial blood","arterial blood","(S)-lactic acid"
"Electrolytes assay for calcium(2+) in arterial blood","arterial blood","calcium(2+)"
"Electrolytes assay for lactate in arterial blood","arterial blood","lactate"
"Creatinine, POC assay for creatinine in arterial blood","arterial blood","creatinine"
"blood gas by co-oximetry assay for potassium molecular entity in arterial blood","arterial blood","potassium molecular entity"
"blood gas by co-oximetry assay for glucose in arterial blood","arterial blood","glucose"
"blood gas by co-oximetry assay for calcium(2+) in arterial blood","arterial blood","calcium(2+)"
"blood gas by co-oximetry assay for sodium molecular entity in arterial blood","arterial blood","sodium molecular entity"
"blood gas by co-oximetry assay for carbon dioxide in arterial blood","arterial blood","carbon dioxide"
"blood gas, arterial assay for (S)-lactic acid in arterial blood","arterial blood","(S)-lactic acid"
"blood gas, arterial assay for sodium molecular entity in arterial blood","arterial blood","sodium molecular entity"
"blood gas, arterial assay for potassium molecular entity in arterial blood","arterial blood","potassium molecular entity"
"blood gas, arterial assay for carbon dioxide in arterial blood","arterial blood","carbon dioxide"
"blood gas, arterial assay for glucose in arterial blood","arterial blood","glucose"
"blood gas, arterial assay for calcium(2+) in arterial blood","arterial blood","calcium(2+)"
"Lipid screen assay for cholesterol in blood","blood","cholesterol"
"Lipid screen assay for high-density lipoprotein cholesterol in blood","blood","high-density lipoprotein cholesterol"
"Lipid screen assay for triglyceride in blood","blood","triglyceride"
"metabolic panel, comprehensive assay for sodium molecular entity in blood","blood","sodium molecular entity"
"metabolic panel, comprehensive assay for glucose in blood","blood","glucose"
"metabolic panel, comprehensive assay for protein in blood","blood","protein"
"metabolic panel, comprehensive assay for carbon dioxide in blood","blood","carbon dioxide"
"metabolic panel, comprehensive assay for calcium molecular entity in blood","blood","calcium molecular entity"
"metabolic panel, comprehensive assay for potassium molecular entity in blood","blood","potassium molecular entity"
"metabolic panel, comprehensive assay for chloride in blood","blood","chloride"
"metabolic panel, comprehensive assay for creatinine in blood","blood","creatinine"
"metabolic panel, comprehensive assay for bilirubin IXalpha in blood","blood","bilirubin IXalpha"
"metabolic panel, basic assay for potassium molecular entity in blood","blood","potassium molecular entity"
"metabolic panel, basic assay for creatinine in blood","blood","creatinine"
"metabolic panel, basic assay for chloride in blood","blood","chloride"
"metabolic panel, basic assay for glucose in blood","blood","glucose"
"metabolic panel, basic assay for carbon dioxide in blood","blood","carbon dioxide"
"metabolic panel, basic assay for calcium molecular entity in blood","blood","calcium molecular entity"
"metabolic panel, basic assay for sodium molecular entity in blood","blood","sodium molecular entity"
"Creatinine assay for creatinine in blood","blood","creatinine"
"Magnesium assay for magnesium molecular entity in blood","blood","magnesium molecular entity"
"Thyroid stimulating hormone with reflex free T4 assay for thyroxine in blood","blood","thyroxine"
"Glucose, plasma, POC assay for glucose in blood","blood","glucose"
"blood gas, arterial assay for lactate in blood","blood","lactate"
"Panel 5 assay for sodium molecular entity in blood","blood","sodium molecular entity"
"Panel 5 assay for potassium molecular entity in blood","blood","potassium molecular entity"
"Panel 5 assay for creatinine in blood","blood","creatinine"
"Panel 5 assay for carbon dioxide in blood","blood","carbon dioxide"
"Creatine, serum assay for creatinine in blood","blood","creatinine"
"Iron/transferrin/transferrin satuartion assay for iron molecular entity in blood","blood","iron molecular entity"
"blood gas, venous assay for glucose in blood","blood","glucose"
"blood gas, venous assay for calcium(2+) in blood","blood","calcium(2+)"
"Phosphorus assay for phosphate(3-) in blood","blood","phosphate(3-)"
"Liver panel assay for bilirubin IXalpha in blood","blood","bilirubin IXalpha"
"Liver panel assay for protein in blood","blood","protein"
"NA assay for sodium molecular entity in blood","blood","sodium molecular entity"
"Glucose, POC assay for glucose in blood","blood","glucose"
"NA assay for potassium molecular entity in blood","blood","potassium molecular entity"
"Lactic acid, whole blood assay for lactate in blood","blood","lactate"
"blood gas, venous assay for lactate in blood","blood","lactate"
"blood gas, venous assay for chloride in blood","blood","chloride"
"blood gas, venous assay for sodium molecular entity in blood","blood","sodium molecular entity"
"Lactic acid assay for lactate in blood","blood","lactate"
"NA assay for uric acid in blood","blood","uric acid"
"blood gas, venous assay for potassium molecular entity in blood","blood","potassium molecular entity"
"blood gas, venous assay for carbon dioxide in blood","blood","carbon dioxide"
"NA assay for ethanol in blood","blood","ethanol"
"blood gas, arterial assay for sodium molecular entity in blood","blood","sodium molecular entity"
"blood gas, arterial assay for potassium molecular entity in blood","blood","potassium molecular entity"
"blood gas, arterial assay for glucose in blood","blood","glucose"
"blood gas, arterial assay for calcium(2+) in blood","blood","calcium(2+)"
"blood gas, arterial assay for carbon dioxide in blood","blood","carbon dioxide"
"metabolic panel, comprehensive assay for magnesium molecular entity in blood","blood","magnesium molecular entity"
"NA assay for triglyceride in blood","blood","triglyceride"
"heme eval/profile assay for folates in blood","blood","folates"
"NA assay for vancomycin in blood","blood","vancomycin"
"Iron assay for iron molecular entity in blood","blood","iron molecular entity"
"Folate assay for folates in blood","blood","folates"
"Panel 5 assay for carbon dioxide in venous blood","venous blood","carbon dioxide"
"Panel 5 assay for sodium molecular entity in venous blood","venous blood","sodium molecular entity"
"Panel 5 assay for creatinine in venous blood","venous blood","creatinine"
"Panel 5 assay for potassium molecular entity in venous blood","venous blood","potassium molecular entity"
"Chloride assay for chloride in venous blood","venous blood","chloride"
"Phosphorus assay for phosphorus molecular entity in venous blood","venous blood","phosphorus molecular entity"
"Liver panel assay for bilirubin IXalpha in venous blood","venous blood","bilirubin IXalpha"
"Glucose assay for glucose in venous blood","venous blood","glucose"
"Magnesium assay for magnesium molecular entity in venous blood","venous blood","magnesium molecular entity"
"Liver panel assay for protein in venous blood","venous blood","protein"
"metabolic panel, basic assay for chloride in venous blood","venous blood","chloride"
"metabolic panel, basic assay for potassium molecular entity in venous blood","venous blood","potassium molecular entity"
"metabolic panel, basic assay for sodium molecular entity in venous blood","venous blood","sodium molecular entity"
"metabolic panel, basic assay for creatinine in venous blood","venous blood","creatinine"
"metabolic panel, basic assay for glucose in venous blood","venous blood","glucose"
"metabolic panel, basic assay for calcium molecular entity in venous blood","venous blood","calcium molecular entity"
"metabolic panel, basic assay for carbon dioxide in venous blood","venous blood","carbon dioxide"
"NA assay for calcium molecular entity in venous blood","venous blood","calcium molecular entity"
"Lipid panel assay for triglyceride in venous blood","venous blood","triglyceride"
"Lipid panel assay for high-density lipoprotein cholesterol in venous blood","venous blood","high-density lipoprotein cholesterol"
"Lipid panel assay for cholesterol in venous blood","venous blood","cholesterol"
"NA assay for uric acid in venous blood","venous blood","uric acid"
"Protein, total assay for protein in venous blood","venous blood","protein"
"T4, T3 uptake and free T4 index assay for thyroxine in venous blood","venous blood","thyroxine"
"NA assay for sodium molecular entity in venous blood","venous blood","sodium molecular entity"
"NA assay for creatinine in venous blood","venous blood","creatinine"
"NA assay for potassium molecular entity in venous blood","venous blood","potassium molecular entity"
"NA assay for carbon dioxide in venous blood","venous blood","carbon dioxide"
"NA assay for iron molecular entity in venous blood","venous blood","iron molecular entity"
"Folate assay for folates in venous blood","venous blood","folates"
"metabolic panel, comprehensive assay for carbon dioxide in venous blood","venous blood","carbon dioxide"
"metabolic panel, comprehensive assay for calcium molecular entity in venous blood","venous blood","calcium molecular entity"
"metabolic panel, comprehensive assay for potassium molecular entity in venous blood","venous blood","potassium molecular entity"
"metabolic panel, comprehensive assay for sodium molecular entity in venous blood","venous blood","sodium molecular entity"
"metabolic panel, comprehensive assay for glucose in venous blood","venous blood","glucose"
