PK_LAB_RESULT_ITEM_ID,obo
4856505,PR:000001351
10414005,PR:000001351
230167,PR:000001351
10690011,PR:000001351
4862069,PR:000003918
163029,PR:000003918
1412077,PR:000003918
11916665,PR:000003918
11841018,PR:000003918
235164,PR:000003918
165384,PR:000003918
234150,PR:000003918
231471,PR:000003918
4856069,PR:000003918
4857067,PR:000003918
11843209,PR:000003918
11922679,PR:000003918
4855068,PR:000003918
11843233,PR:000003918
231359,PR:000003918
11914006,PR:000003918
4857069,PR:000003918
1545001,PR:000003918
159535,PR:000003918
159990,PR:000003918
11842058,PR:000003918
165513,PR:000003918
1410004,PR:000003918
234860,PR:000003918
11921114,PR:000003918
11844243,PR:000003918
226341,PR:000003918
227341,PR:000003918
11918688,PR:000003918
11925181,PR:000003918
883002,PR:000003918
234403,PR:000003918
4270016,PR:000003918
4859069,PR:000003918
233636,PR:000003918
11919114,PR:000003918
11842233,PR:000003918
11845233,PR:000003918
11915089,PR:000003918
8554004,PR:000003918
11842210,PR:000003918
11912094,PR:000003918
8021018,PR:000003918
11918259,PR:000003918
160217,PR:000003918
11915448,PR:000003918
13644018,PR:000003918
11920079,PR:000003918
8735053,PR:000003918
11915703,PR:000003918
11921111,PR:000003918
11843126,PR:000007834
9655023,PR:000007834
4864203,PR:000016583
166772,PR:000016583
228501,PR:000016583
234630,PR:000016583
4860077,PR:000050219
163032,PR:000050219
171256,PR:000050219
233953,PR:000050219
11508003,PR:000050219
11916673,PR:000050219
232472,PR:000050219
237688,PR:000050219
10412007,PR:000050219
11508004,PR:000050219
18051008,PR:000050219
11924679,PR:000050219
1413007,PR:000050219
11426008,PR:000050219
10692010,PR:000050219
15927003,PR:000050219
6882007,PR:000050219
11880005,PR:000050219
11507006,PR:000050219
160219,PR:000050219
4868294,CHEBI:12777
11845373,CHEBI:132952
159825,CHEBI:132952
171133,CHEBI:132952
4864275,CHEBI:132952
4866235,CHEBI:132952
4855324,CHEBI:132952
4858320,CHEBI:132952
1413140,CHEBI:132952
159465,CHEBI:132952
163938,CHEBI:132952
19324003,CHEBI:132952
1190001,CHEBI:132952
11844373,CHEBI:132952
226432,CHEBI:132952
228431,CHEBI:132952
11919031,CHEBI:132952
11925037,CHEBI:132952
19343008,CHEBI:132952
11919106,CHEBI:132952
11923112,CHEBI:132952
8070005,CHEBI:132952
229808,CHEBI:132952
1408139,CHEBI:143125
11919101,CHEBI:143125
4858800,CHEBI:15379
230181,CHEBI:15379
4859456,CHEBI:15379
6932005,CHEBI:15379
11844083,CHEBI:15379
11843084,CHEBI:15379
11493014,CHEBI:15379
8840004,CHEBI:15379
13253003,CHEBI:15379
21083013,CHEBI:15379
3995001,CHEBI:15379
6933005,CHEBI:15379
228846,CHEBI:15379
239520,CHEBI:15379
7810003,CHEBI:15379
1408001,CHEBI:15379
226505,CHEBI:15379
9737005,CHEBI:15379
7805005,CHEBI:15379
8525005,CHEBI:15379
4859802,CHEBI:15379
226632,CHEBI:15379
226510,CHEBI:15379
166894,CHEBI:15379
160524,CHEBI:15379
166892,CHEBI:15379
4857456,CHEBI:15379
11844221,CHEBI:15379
11841223,CHEBI:15379
8815007,CHEBI:15379
4857801,CHEBI:15379
4855457,CHEBI:15379
