"PK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","LAB_RESULT_COUNT","obo","loinc.obo"
159156,"% EOSINOPHILS FLUID","C % EOSINOPHILS (FLUID)","26452-3",8647,NA,NA
159160,"MEAN CELLULAR HEMOGLOBIN","C MCH","785-6",2668953,"CHEBI:35143","CHEBI:35143"
159161,"RDW","C RDW","788-0",2685828,NA,NA
159165,"UREA NITROGEN","UREA NITROGEN","3094-0",2493788,NA,NA
159173,"UA PH","C UA PH","5803-2",483675,NA,NA
159179,"EPICST","C EPICST",NA,301,NA,NA
159182,"POTASSIUM PLASMA","C PLASMA POTASSIUM","2823-3",767,"CHEBI:26217","CHEBI:26217"
159183,"PHOSPHATE","C PHOSPHORUS","2777-1",301027,"CHEBI:18367","CHEBI:18367"
159183,"PHOSPHATE","C PHOSPHORUS","2777-1",301027,"CHEBI:18367","CHEBI:18367"
159183,"PHOSPHATE","C PHOSPHORUS","2777-1",301027,"CHEBI:18367","CHEBI:18367"
159183,"PHOSPHATE","C PHOSPHORUS","2777-1",301027,"CHEBI:18367","CHEBI:18367"
159187,"FINAL CRYO","FINAL CRYO",NA,18,NA,NA
159190,"B2 TEXT","C B2 TEXT","59462-2",153,NA,NA
159196,"IMMUNOGLOBULIN A","C IMMUNOGLOBULIN A","2458-8",70300,NA,NA
159198,"RETICULOCYTES","C RETICULOCYTE COUNT","4679-7",47475,NA,NA
159204,"RUBELLA-IMMUNE STATU","RUBELLA-IMMUNE STATU",NA,30297,NA,NA
159215,"URINE TOTAL VOLUME","URINE TOTAL VOLUME",NA,29046,NA,NA
159228,"COMPLEMENT C9","C COMPLEMENT C9","4510-4",6,NA,NA
159237,"ERYTHROCYTE PBG DEAM","C ERYTHROCYTE PBG DEAM",NA,33,NA,NA
159245,"ANTI RIBOSOMAL P PROTEIN","C ANTI RIBOSOMAL P PROTEIN",NA,50,NA,NA
159257,"COXSB4","C COXSACKIE VIRUS B4",NA,229,NA,NA
159262,"NORFLUOXETINE","C NORFLUOXETINE",NA,9,NA,NA
159268,"IMMUNOGLOBULIN G SUB 1","C IMMUNOGLOBULIN G SUB",NA,857,NA,NA
159274,"CALIFORNIA ENCEPHALI","C CALIFORNIA ENCEPHALI",NA,5,NA,NA
159275,"WESTERN EQUINE ENCEP","C WESTERN EQUINE ENCEP",NA,5,NA,NA
159280,"ESTRADIOL, SERUM","C ESTRADIOL, SERUM",NA,649,NA,NA
159291,"SALICYLATE","C SALICYLATE","4024-6",4017,NA,NA
159294,"VNL DOSE","VNL DOSE",NA,2,NA,NA
159312,"NORTRP","NORTRP",NA,80,NA,NA
159314,"NORDOX","C NORDOX","3862-0",19,NA,NA
159348,"IGG (GPL) UNITS","IGG (GPL) UNITS","8065-5",5411,NA,NA
159359,"HTLVI/II AB, BANDS","HTLVI/II AB, BANDS",NA,2,NA,NA
159362,"ANTI-HU (NEURONAL NUCLEAR)","ANTI-HU (NEURONAL NUCLEAR)",NA,2,NA,NA
159379,"COPPER, SERUM","C COPPER, SERUM","5631-7",920,NA,"CHEBI:23377"
159382,"ETHOSUXIMIDE","ETHOSUXIMIDE LVL","3616-0",8,NA,NA
159391,"SHAPE","SHAPE",NA,142,NA,NA
159400,"AFUM1","C ASPERGILLUS FUMIGATU",NA,540,NA,NA
159401,"AFUM2","C ASPERGILLUS FUMIGATU",NA,540,NA,NA
159405,"ANAP","ANAP","49310-6",44336,NA,NA
159410,"SINGLE STRANDED DNA","C SINGLE STRANDED DNA","10360-6",368,NA,NA
159435,"% NEUTROPHILS","C % NEUTROPHILS","770-8",1796174,NA,NA
159440,"PARVOVIRUS B19 IGM A","C PARVOVIRUS B19 IGM A","5274-6",1695,NA,NA
159456,"CRYPTOCOCCAL AG - SE","C CRYPTOCOCCAL AG - SE",NA,27,NA,NA
159463,"POTASSIUM 24 HOUR URINE","URINE 24 HOUR POTASSIUM","21476-7",1030,"CHEBI:26217","CHEBI:26217"
159465,"U OXALATE MG/24H","U OXALATE MG/24H",NA,86,"CHEBI:132952",NA
159490,"URINE ELP TEXT","C URINE ELP TEXT",NA,21628,NA,NA
159498,"N-TELOPEPTIDE","C N-TELOPEPTIDE","20624-3",278,NA,NA
159515,"DATE PHENYTOIN GIVEN","DATE PHENYTOIN GIVEN",NA,46,NA,NA
159516,"FREE PHENYTOIN","C FREE PHENYTOIN","3969-3",477,"CHEBI:8107","CHEBI:8107"
159535,"ALBUMIN FLUID","C FLUID ALBUMIN","1747-5",1248,"PR:000003918","PR:000003918"
159536,"TRIGLYCERIDES FLUID","C FLUID TRIGLYCERIDES","12228-3",840,NA,NA
159542,"SUDAN BLACK STAIN","C SUDAN BLACK STAIN","11019-7",57,NA,NA
159553,"PLATELET SEC COLLAGE","C PLATELET SEC COLLAGE",NA,2,NA,NA
159566,"FLOW PRA CLASS II","FLOW PRA CLASS II",NA,427,NA,NA
159580,"RPR TITER","C RPR-QUANTITATIVE","31147-2",2946,NA,NA
159618,"% BAND NEUTROPHILS","C % BAND NEUTROPHILS (MANUAL)","764-1",269256,NA,NA
159621,"DATE QUINIDINE GIVEN","DATE QUINIDINE GIVEN",NA,4,NA,NA
159637,"MEPROBAMATE","C MEPROBAMATE","3754-9",8890,NA,NA
159638,"NICOTINE METABOLITE","C NICOTINE METABOLITE","59646-0",8897,NA,NA
159643,"INHIB SCREEN PTT PAT 30 PATIENT","C INHIB SCREEN PTT PAT 30 PATIENT",NA,127,NA,NA
159660,"URINE CYSTINE","URINE CYSTINE",NA,19,NA,NA
159664,"CHAIN OF CUSTODY","CHAIN OF CUSTODY",NA,7,NA,NA
159669,"ALDOSTERONE","C ALDOSTERONE","1763-2",3148,"CHEBI:27584","CHEBI:27584"
159777,"# NEUTROPHILS MANUAL","C # SEGMENTED NEUTROPHILS (MANUAL)","768-2",310205,NA,NA
159787,"PCO2 ARTERIAL","PCO2",NA,788,"CHEBI:16526",NA
159806,"HEXAGONAL PHASE PE","C HEXAGONAL PHASE PE","33930-9",232,NA,NA
159808,"D-XYLOSE (URINE)","C D-XYLOSE (URINE)","1646-9",3,NA,NA
159810,"EXTRA TUBE/SPECIMEN","EXTRA TUBE/SPECIMEN",NA,1580,NA,NA
159813,"INHIBITOR ASSAY RESU","C INHIBITOR ASSAY RESU",NA,254,NA,NA
159817,"THERAPEUTIC CONSENT","THERAPEUTIC CONSENT",NA,1085,NA,NA
159826,"INHIB SCREEN PT PATIENT 30 MIN","C INHIB SCREEN PT PATIENT 30 MIN",NA,52,NA,NA
159828,"WAXY CASTS","C WAXY CAST","5819-8",500,NA,NA
159829,"% BLASTS","C % BLASTS (MANUAL)","764-1",14133,NA,NA
159836,"ANCA SLIDE EVAL","C ANCA SLIDE EVAL","21419-7",3648,NA,NA
159849,"BILE ACIDS, TOTAL","C BILE ACIDS, TOTAL","14628-2",327,NA,NA
159850,"METHYLMALONIC ACID,","C METHYLMALONIC ACID,","13964-2",2709,NA,NA
159852,"CALCIUM CARBONATE CR","CALCIUM CARBONATE CR",NA,11,"CHEBI:3311",NA
159854,"METOPROLOL","C METOPROLOL","3816-6",8830,NA,NA
159856,"CK TOTAL","C CK TOTAL","2157-6",770,NA,NA
159866,"HPV HIGH RISK","HIGH RISK HPV","49896-4",46,NA,NA
159886,"STRIATED MUSCLE AB,","C STRIA. AB, IGG TITER","29998-2",44,NA,NA
159887,"GLUTAMIC ACID DECARB","C GLUTAMIC ACID DECARB","56540-8",503,NA,NA
159888,"TRILEPTAL (10-HYDROX","C TRILEPTAL (10-HYDROX",NA,288,NA,NA
159912,"% NEUTROPHILS","Q % NEUTROPHILS","770-8",157995,NA,NA
159916,"RH TYPE","Q RH TYPE","10331-7",24172,NA,NA
159921,"QUEST NOTE","QUEST NOTE 3",NA,2,NA,NA
159922,"IS THIS CASE SENSITIVE?","TEST CODE",NA,4472,NA,NA
159930,"UA BLOOD","Q UA BLOOD","5794-3",70263,NA,NA
159931,"UA LEUKOCYTE ESTERASE","Q UA LEUKOCYTE ESTERASE","5799-2",67953,NA,NA
159932,"SQUAMOUS EPITHELIAL","Q SQUAMOUS EPITHELIAL CE*","11277-1",67221,NA,NA
159939,"MSAFP RISK OPEN NTD","MSAFP RISK OPEN NTD",NA,4126,NA,NA
159944,"UREA NITROGEN","Q UREA NITROGEN","3094-0",477535,NA,NA
159945,"POTASSIUM","Q POTASSIUM","2823-3",412826,"CHEBI:26217","CHEBI:26217"
159947,"GLOBULIN","ZZ GLOBULIN","10834-0",405,NA,NA
159949,"CALCIUM OXALATE CRYSTALS","Q CALCIUM OXALATE C*","25148-8",4192,"CHEBI:60579","CHEBI:60579"
159950,"SEE NOTE","SEE NOTE",NA,189,NA,NA
159971,"HCG","CHORIONIC GONADOTROPIN",NA,395,NA,NA
159983,"HPV 6, 11","RESULTS HPV TYPE 6/11",NA,9,NA,NA
159998,"DIRECT GP IB/1X, IGG","C DIRECT GP IB/1X, IGG",NA,2,NA,NA
160001,"INDIRECT GP IA/IIA,","C INDIRECT GP IA/IIA,",NA,2,NA,NA
160007,"REPORTED ETHNICITY","Q REPORTED ETHNICITY","32624-9",8639,NA,NA
160009,"URIC ACID URINE 24 HOUR","C URIC ACID, UR MG/DAY","21587-1",253,NA,NA
160011,"GEST AGE (EXACT)","C GEST AGE (EXACT)","18185-9",210,NA,NA
160013,"CALCIUM PHOSPHATE CR","C CALCIUM PHOSPHATE CR","5775-2",373,"CHEBI:77635","CHEBI:77635"
160015,"REPORT STATUS","Q REPORT STATUS",NA,64073,NA,NA
160018,"COMMENT","COMMENT",NA,25939,NA,NA
160020,"CLINICAL INFORMATION","CLINICAL INFORMATION",NA,2911,NA,NA
160033,"HPV","HPV DNA",NA,6550,NA,NA
160038,"SJOGRENS ANTIBODIES (SSA)","SJOGRENS ANTIBODIES (SSA)",NA,16,NA,NA
160042,"Q LIPASE","Q LIPASE","3040-3",4363,NA,NA
160048,"THYROID PEROXIDASE ANTIBODY","Q THYROID PEROXIDASE ANTIBODIES","8099-4",3701,NA,NA
160052,"TITER","Q TITER","15343-7",520,NA,NA
160060,"BARTONELLA QUINTANA IGG","C BARTONELLA QUINTANA ANTIBODY IGG","9360-9",65,NA,NA
160067,"% SATURATION","Q % SATURATION","2505-6",23116,NA,NA
160068,"Q HSV TYPE 2","Q HSV TYPE 2","5849-5",228,NA,NA
160079,"PREV. BX","PREV. BX",NA,49,NA,NA
160099,"WBC","WBC",NA,7,NA,NA
160104,"A SOURCE","ZZ A SOURCE","31208-2",9,NA,NA
160110,"QUESTION/PROBLEM","QUESTION/PROBLEM",NA,528,NA,NA
160112,"VITAMIN B12","VITAMIN B12",NA,36,NA,NA
160143,"CHOLESTEROL DIRECT LDL","ZZ DIRECT LDL","18262-6",3,"CHEBI:47774","CHEBI:47774"
160144,"CHOLESTEROL DIRECT LDL","ZZ LDL CHOLESTEROL","2089-1",2,"CHEBI:47774","CHEBI:47774"
160192,"GLUCOSE 120 MIN","ZZ GLUCOSE 120 MIN",NA,99,"CHEBI:17234",NA
160207,"URINE TOTAL VOLUME","URINE TOTAL VOLUME",NA,3,NA,NA
160214,"UREA NITROGEN","ZZ UREA NITROGEN","3094-0",3,NA,NA
160218,"BILIRUBIN, TOTAL","ZZ BILIRUBIN, TOTAL","1975-2",3,"CHEBI:16990","CHEBI:16990"
160227,"SPECIMEN","SPECIMEN",NA,2,NA,NA
160278,"QUANTITATIVE CMV AG","QUANTITATIVE CMV AG",NA,18,NA,NA
160312,"FREE T4 INDEX (T7)","FREE T4 INDEX (T7)",NA,121,NA,NA
160377,"PHOSPHATE","PHOSPHATE (AS PHOSPHORUS)",NA,176,NA,NA
160378,"3 HOUR GLUCOSE TOLERANCE - FASTING","Q GLUCOSE, FASTING","1558-6",2878,"CHEBI:17234","CHEBI:17234"
160379,"GLUCOSE, 3 HOUR","Q GLUCOSE, 3 HOUR","1530-5",2838,"CHEBI:17234","CHEBI:17234"
160398,"C-REACTIVE PROTEIN","Q C-REACTIVE PROTEIN","1988-5",17644,NA,"CHEBI:36080"
160411,"URINE CALCIUM/CREATININE RATIO","Q URINE CALCIUM/CREATININE (MG/G)","13717-4",1003,NA,NA
160438,"E PROCEDURE","Q E PROCEDURE",NA,68,NA,NA
160449,"M RVPCR","C M RVPCR",NA,23115,NA,NA
160452,"SEE COMMENT","SEE COMMENT",NA,18,NA,NA
160458,"OTHER HEMOGLOBIN 2","Q OTHER HEMOGLOBIN 2","42248-5",3,NA,NA
160464,"FAMILIAL DYSAUTONOMIA","FAMILIAL DYSAUTONOMIA",NA,138,NA,NA
160472,"WEEKS OF GESTATION","Q WEEKS OF GESTATION","49051-6",359,NA,NA
160476,"WEIGHT POUNDS","Q WEIGHT POUNDS","3142-7",1726,NA,NA
160481,"C. TRACHOMATIS RNA, TMA","Q C. TRACHOMATIS RNA, TMA","43304-5",2028,NA,NA
160485,"HIV-1 AB WESTERN BLOT RESULTS","HIV-1 AB WESTERN BLOT RESULTS",NA,48,NA,NA
160486,"Q RUBELLA IGM ANTIBODY","Q RUBELLA IGM ANTIBODY","5335-5",102,NA,NA
160488,"1 25 DIHYDROXY VITAMIN D3","Q VITAMIN D, 1, 25-DIHYDROXY","1649-3",31,NA,NA
160489,"CHLOROTHIAZIDE","CHLOROTHIAZIDE",NA,11,NA,NA
160491,"CHLORTHALIDONE","C CHLORTHALIDONE",NA,10,NA,NA
160500,"NMO-IGG, CSF","C NMO-IGG, CSF",NA,43,NA,NA
160504,"HYDROMORPHONE","C HYDROMORPHONE","18473-9",10555,NA,NA
160516,"DOPAMINE, 24 HR URINE","Q DOPAMINE, 24 HR URINE","2218-6",280,NA,NA
160525,"NYHA CLASS","NYHA CLASS",NA,2787,NA,NA
160532,"GLIADIN PEPTIDE AB,","GLIADIN PEPTIDE AB,","20495-8",2353,NA,NA
160533,"RIGHT ATRIUM","RA PRESSURE, MEAN",NA,70,NA,NA
160556,"ADRENAL AB","C ADRENAL AB","17781-6",49,NA,NA
160557,"MICROALBUMIN 24 HOURS","MICROALBUMIN, 24 HOUR UR",NA,59,NA,NA
160580,"AORTIC ROOT DIAMETER","AORTIC ROOT DIAMETER",NA,137665,NA,NA
160586,"FUMARIC ACID","C FUMARIC ACID","25101-7",6,NA,NA
160590,"4-OH-PHENYLPYRUVIC A","C 4-OH-PHENYLPYRUVIC A","29519-6",5,NA,NA
160603,"T(12;21) LEUKEMIA TRA","T(12;21) LEUKEMIA TRA",NA,2,NA,NA
160621,"C. TRACHOMATIS RRNA","C. TRACHOMATIS RRNA",NA,97425,NA,NA
160622,"AMP-SUL","AMP-SUL",NA,65,NA,NA
160625,"BICARBONATE VENOUS","C HCO3 VEN","14627-4",164782,NA,NA
160639,". POSTTRANSPLANT REPORT",". POSTTRANSPLANT REPORT",NA,5648,NA,NA
160641,"INFLUENZA B AB","INFLUENZA B AB",NA,185,NA,NA
160646,"HISTORY OF DOWN SYNDROME","HISTORY OF DOWN SYNDROME",NA,11179,NA,NA
160647,"CORT FREE UG/L","CORT FREE UG/L","34909-2",516,NA,NA
160654,"HLA HLUAB","C HLA HLUAB",NA,1383,NA,NA
160657,"NEURO NUC AB RI","C NEURO NUC AB RI",NA,2,NA,NA
160662,"RUBEOLA IGM","C RUBEOLA IGM","25421-9",75,NA,NA
160665,"EST'D DATE OF DELIVERY","EST'D DATE OF DELIVERY",NA,11076,NA,NA
160666,"HX OF NEURAL TUBE DEFECTS","HX OF NEURAL TUBE DEFECTS",NA,14774,NA,NA
160673,"CRE MG 5HIAA","CRE MG 5HIAA","20624-3",366,NA,NA
160674,"CHOLESTEROL HIGH DENSITY LIPOPROTEIN","Q TOTAL HDL DIRECT","2085-9",392,"CHEBI:47775","CHEBI:47775"
160677,"CHOLESTEROL CALCULATED LOW DENSITY LIPOPROTEIN","Q SUM TOTAL LDL","13457-7",391,NA,NA
160688,"LAMBDA FLC","LAMBDA FLC",NA,29579,NA,NA
160689,"HISTA CRE MG","HISTA CRE MG","33290-8",16,NA,NA
160692,"CRE MG OXALATE","CRE MG OXALATE","20624-3",77,NA,NA
160695,"NEISSERIA GONORRHOEAE AB, CF","NEISSERIA GONORRHOEAE AB, CF",NA,2,NA,NA
160696,"PINWORM PR","PINWORM PR",NA,44,NA,NA
160702,"REFERRING PHYSICIAN PHONE","Q REFERRING PHYSICI*",NA,4705,NA,NA
160704,"JC VIRUS SOURCE","JC VIRUS SOURCE","31208-2",46,NA,NA
160720,"FANCONI ANEMIA","Q FANCONI ANEMIA","32639-7",334,NA,NA
160724,"NEISSERIA GONORROHOEAE BY PCR","Q NEISSERIA GONORRHOEAE DNA, SDA, PAP VIAL","21414-8",14833,NA,NA
160727,"25 HYDROXY VITAMIN D TOTAL","ZZ VITAMIN D, 25-OH, TOTAL","1990-1",114,NA,NA
160730,"THYROGLOBULIN (Q)","Q THYROGLOBULIN","3013-0",4442,NA,NA
160735,"NAME ON SPECIMEN","NAME ON SPECIMEN",NA,48,NA,NA
160736,". BCL2 REPORT",". BCL2 REPORT",NA,11,NA,NA
160737,"ZZ SODIUM, RANDOM URINE","ZZ SODIUM, RANDOM URINE",NA,4,"CHEBI:26712",NA
160753,"AD.(DSDNA) (RESULT)","AD.(DSDNA) (RESULT)",NA,22350,NA,NA
160760,"LDL PARTICAL SIZE","LDL PARTICAL SIZE",NA,34,NA,NA
160765,"HR","HR",NA,53,NA,NA
160793,"CROWN RUMP LENGTH","CROWN RUMP LENGTH",NA,3060,NA,NA
160797,"FVC % PRED","POST FVC %PRED",NA,386,NA,NA
160803,"VSS DOSE GIVEN TO DATE","VSS DOSE GIVEN TO DATE",NA,1511210,NA,NA
160812,"ROVARYLENGTH","R OVARY LENGTH",NA,2681,NA,NA
163002,"GLUCOSE","C GLUCOSE","2345-7",1855085,"CHEBI:17234","CHEBI:17234"
163026,"PLATELETS","C PLATELETS","777-3",2686742,NA,NA
163029,"ALBUMIN","C ALBUMIN","1751-7",2017913,"PR:000003918","PR:000003918"
163038,"BILIRUBIN DIRECT","C CONJUGATED BILIRUBIN","3968-5",128025,NA,"CHEBI:8107"
163050,"ZINC","C ZINC","5763-8",1955,"CHEBI:27364","CHEBI:27364"
163056,"ABORH INTERPRETATION","ABORH INT",NA,466,NA,NA
163077,"RBC URINE","C UA RBC",NA,259802,NA,NA
163095,"MAGNESIUM","MAGNESIUM","19123-9",792071,"CHEBI:25108","CHEBI:25108"
163098,"TRIGLYCERIDES","C TRIGLYCERIDES","2571-8",888410,"CHEBI:17855","CHEBI:17855"
163113,"CK","C CREATINE KINASE","2157-6",95347,NA,NA
163134,"GLUCOSE","C GLUCOSE, FASTING","1558-6",14275,"CHEBI:17234","CHEBI:17234"
163140,"SEDIMENTATION RATE","C SEDIMENTATION RATE","30341-2",135519,NA,NA
163158,"SCBM TUBE #","C SCBMTUBE",NA,97,NA,NA
163176,"HAEMOPHILUS INFLUENZ","HAEMOPHILUS INFLUENZ",NA,45,NA,NA
163194,"HEPATITIS C BY PCR","HEPATITIS C BY PCR",NA,11,NA,NA
163224,"PARIETAL CELL ANTIBO","C PARIETAL CELL ANTIBO",NA,173,NA,NA
163227,"C7 COMPLEMENT","C C7 COMPLEMENT","4508-8",6,NA,NA
159153,"TUBE NUMBER","TUBE#",NA,11163,NA,NA
159162,"GGT","GAMMA GT","2324-2",64079,NA,"PR:000001351"
159168,"PROGESTERONE","PROGESTERONE","2839-9",32411,NA,NA
159177,"TRICHO","C TRICHO",NA,638,NA,NA
159185,"ANGIOTENSIN CONVERTI","ANGIOTENSIN CONVERTI",NA,37,NA,NA
159193,"SERUM KETONE","C SERUM KETONE",NA,358,"CHEBI:17087",NA
159194,"HAPTOGLOBIN","C HAPTOGLOBIN","4542-7",7108,NA,NA
159197,"GLOBULIN","Q GLOBULIN","10834-0",391930,NA,NA
159205,"WBC STEM CELL BONE MARROW","C WBCSCBM",NA,98,NA,NA
159207,"PT-INTERP","PT-INTERP",NA,4056,NA,NA
159211,"ENDOMYSIAL ANTIBODIE","ENDOMYSIAL ANTIBODIE",NA,92,NA,NA
159219,"AMYLASE S/O","C AMYLASE S/O",NA,38,NA,NA
159220,"ALPHA1 ANTITR","ALPHA1 ANTITR","1825-9",2601,NA,NA
159221,"C6 COMPLEMENT","C C6 COMPLEMENT",NA,3,NA,NA
159222,"INTRINSIC FACTOR ANT","C INTRINSIC FACTOR ANT",NA,313,NA,NA
159223,"VITAMIN B1(THIAMINE)","C VITAMIN B1(THIAMINE)",NA,1462,NA,NA
159224,"C1Q BINDING IMMUNE C","C C1Q BINDING IMMUNE C",NA,105,NA,NA
159226,"PT","PT (PROTHROMBIN TIME)","5902-2",986893,NA,NA
159227,"MANGANESE, SERUM","C MANGANESE, SERUM",NA,50,NA,NA
159239,"CARBAMAZEPINE","C CARBAMAZEPINE","3432-2",3429,NA,NA
159249,"TESTOSTERONE","TOTAL TESTOSTERONE",NA,179,NA,NA
159256,"COXSB1","C COXSACKIE VIRUS B1",NA,229,NA,NA
159265,"RETINYL PALMITATE","C RETINYL PALMITATE",NA,692,NA,NA
159272,"CALCIUM IONIZED","C IONIZED CALCIUM (ADJUSTED TO PH 7.4)","47598-8",3516,"CHEBI:22985","CHEBI:22985"
159282,"HEPTACARBOXYLATE","C HEPTACARBOXYLATE",NA,79,NA,NA
159288,"TOP ADMIN","TOP ADMIN",NA,3,NA,NA
159293,"CYCLOSPORINE","C CYCLOSPORINE","3521-2",11123,NA,NA
159305,"TAC DOSE2","TAC DOSE2",NA,203,NA,NA
159310,"METHANOL","C METHANOL","5693-7",127,NA,NA
159315,"SECOBARBITAL","C SECOBARBITAL",NA,8,NA,NA
159316,"COC METABOLITE","C COC METABOLITE","3393-6",32297,NA,NA
159333,"NORTRIP","NORTRIP","3872-9",127,NA,NA
159340,"AMPHETAMINES","AMPHETAMINES",NA,6,NA,NA
159354,"HEPATITIS B CORE ANTIBODY","C HEPATITIS B CORE ANTIBODY","16933-4",30080,NA,NA
159355,"AGGREGATION INTERPRE","AGGREGATION INTERPRE",NA,43,NA,NA
159365,"GLYCINE","C GLYCINE","20644-1",32,NA,NA
159370,"CITRULLINE","C CITRULLINE","20640-9",37,NA,NA
159378,"CAROTENOIDS","C CAROTENE","2053-7",125,NA,NA
159380,"GLUCAGON","C GLUCAGON","2338-2",65,NA,NA
159383,"17-HYDROXY PROGESTER","17-HYDROXY PROGESTER",NA,38,NA,NA
159389,"PHENOBARBITAL","PHENOBARBITAL",NA,8,NA,NA
159396,"CRYPTOCOCCAL ANTIGEN","CRYPTOCOCCAL ANTIGEN",NA,36,NA,NA
159398,"MALARIA INFECTED RBC","MALARIA INFECTED RBC",NA,5,NA,NA
159403,"ANTI THYROID MICROSO","ANTI THYROID MICROSO",NA,7,NA,NA
159414,"25 HYDROXY VITAMIN D3","C VIT D, 25-HYDR","1989-3",80561,"CHEBI:17933","CHEBI:17933"
159415,"VITAMIN E","C BETA-GAMMA-TOCOPHERO","11038-7",467,NA,NA
159427,"PROSTATE SPECIFIC ANTIGEN TOTAL","C PROSTATE SPECIFIC AG","2857-1",198918,NA,NA
159429,"ANTI MITOCHONDRIAL A","ANTI MITOCHONDRIAL A","14236-4",11453,NA,NA
