PK_LAB_RESULT_ITEM_ID,obo,molent,ion,specimen_obo,POC,total,indirect,direct,random,method,notes
4868294,CHEBI:12777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4856265,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170492,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171225,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11918665,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841042,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164031,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4858266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11912030,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11928268,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167198,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11427008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1409003,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1186001,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4517022,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7966005,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265027,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11877006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171098,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922227,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160220,CHEBI:16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4860425,CHEBI:16236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4856422,CHEBI:16236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4867241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163473,CHEBI:16236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4533003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12432006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8764052,CHEBI:16236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8736054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859284,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163044,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844044,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165381,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11917679,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4870173,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,total?
1507001,CHEBI:16526,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
11808003,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772008,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160216,CHEBI:16526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857317,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170473,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845047,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159920,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4864248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11917675,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170753,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
159927,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
4865248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841198,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
163953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11809003,CHEBI:16737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170556,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
4861318,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,units = umol/mL ?
639007,CHEBI:16737,NA,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
