PK_LAB_RESULT_ITEM_ID,obo
159159,CHEBI:35143
159160,CHEBI:35143
159162,PR:000001351
159163,PR:000050343
159164,CHEBI:16990
159166,CHEBI:26217
159171,CHEBI:17234
159182,CHEBI:26217
159183,CHEBI:18367
159184,CHEBI:27226
159189,CHEBI:16134
159193,CHEBI:17087
159199,CHEBI:17234
159200,CHEBI:16990
159209,CHEBI:21241
159210,CHEBI:6367
159213,CHEBI:17996
159223,CHEBI:26948
159236,CHEBI:23237
159239,CHEBI:3387
159240,CHEBI:8069
159249,CHEBI:17347
159263,CHEBI:57589
159272,CHEBI:22985
159276,CHEBI:28694
159286,CHEBI:4551
159289,CHEBI:39867
159293,CHEBI:4031
159297,CHEBI:28001
159309,CHEBI:28864
159310,CHEBI:17790
159313,CHEBI:47781
159318,CHEBI:16236
159351,CHEBI:17650
159352,PR:000028269
159353,CHEBI:82594
159361,CHEBI:17381
159371,CHEBI:68641
159373,CHEBI:17347
159376,CHEBI:2663
159379,CHEBI:28694
159382,CHEBI:4887
159386,CHEBI:15347
159389,CHEBI:8069
159414,CHEBI:17933
159421,CHEBI:28544
159448,CHEBI:22985
159462,CHEBI:26712
159463,CHEBI:26217
159465,CHEBI:132952
159466,CHEBI:17087
159496,CHEBI:47773
159497,CHEBI:17855
159499,CHEBI:27563
159512,CHEBI:3387
159516,CHEBI:8107
159520,CHEBI:47780
159533,CHEBI:36080
159534,PR:000050367
159535,PR:000003918
159537,CHEBI:26217
159573,CHEBI:33298
159584,CHEBI:2673
159631,CHEBI:28177
159632,CHEBI:2666
159633,CHEBI:27732
159644,CHEBI:17234
159645,CHEBI:17234
159669,CHEBI:27584
159787,CHEBI:16526
159788,PR:000050367
159789,CHEBI:47775
159790,CHEBI:36080
159794,CHEBI:36080
159801,CHEBI:15379
159802,CHEBI:17423
159816,CHEBI:35143
159825,CHEBI:132952
159849,CHEBI:3098
159852,CHEBI:3311
159856,PR:000029971
159908,CHEBI:35143
159909,CHEBI:35143
159917,CHEBI:17855
159918,CHEBI:39026
159919,PR:000013429
159920,CHEBI:16737
159925,CHEBI:22985
159927,CHEBI:16737
159929,CHEBI:17234
159934,CHEBI:17347
159938,CHEBI:30660
159945,CHEBI:26217
159946,CHEBI:22985
159948,PR:000050353
159949,CHEBI:60579
159955,CHEBI:47774
159965,CHEBI:17230
159977,CHEBI:17234
159980,CHEBI:17234
159984,CHEBI:16990
159990,PR:000003918
159994,CHEBI:16737
160012,CHEBI:7640
160013,CHEBI:77635
160021,PR:000003918
160023,CHEBI:36080
160046,CHEBI:17126
160049,CHEBI:28774
160062,CHEBI:17347
160134,PR:000029971
160143,CHEBI:47774
160144,CHEBI:47774
160182,CHEBI:60579
160192,CHEBI:17234
160215,CHEBI:26712
160216,CHEBI:16526
160217,PR:000003918
160218,CHEBI:16990
160219,PR:000050219
160264,CHEBI:16990
160270,CHEBI:17347
160369,CHEBI:17234
160378,CHEBI:17234
160379,CHEBI:17234
160398,CHEBI:36080
160429,CHEBI:17347
160498,CHEBI:8107
160501,CHEBI:15379
160508,CHEBI:15379
160524,CHEBI:15379
160531,PR:000001351
160539,CHEBI:36080
160547,CHEBI:27584
160566,PR:000003918
160592,CHEBI:17347
160601,CHEBI:17347
160602,CHEBI:8107
160614,CHEBI:15379
160620,PR:000050367
160625,CHEBI:32139
160674,CHEBI:47775
160675,CHEBI:17855
160677,CHEBI:39026
160713,CHEBI:8107
160731,CHEBI:26712
160737,CHEBI:26712
160747,CHEBI:27584
160787,CHEBI:25806
160817,CHEBI:17234
163002,CHEBI:17234
163029,PR:000003918
163032,PR:000050219
163035,CHEBI:8107
163038,CHEBI:8107
163041,CHEBI:26712
163044,CHEBI:16526
163050,CHEBI:27364
163059,CHEBI:17087
163065,CHEBI:29026
163092,CHEBI:22985
163095,CHEBI:25108
163098,CHEBI:17855
163110,CHEBI:24873
163113,PR:000029971
163122,CHEBI:24996
163134,CHEBI:17234
163137,CHEBI:39026
163143,CHEBI:17234
163170,CHEBI:3756
163182,CHEBI:26217
163251,CHEBI:23237
163260,CHEBI:27732
163269,CHEBI:17833
163278,CHEBI:27638
163290,CHEBI:17347
163332,CHEBI:17126
163359,CHEBI:22985
163371,CHEBI:28694
163416,CHEBI:17230
163440,CHEBI:2637
163461,CHEBI:61049
163473,CHEBI:16236
163485,CHEBI:4710
163488,CHEBI:102524
163599,CHEBI:28774
163626,CHEBI:17381
163662,CHEBI:67011
163686,CHEBI:17514
163764,PR:P02144
163788,CHEBI:22470
163881,CHEBI:36080
163932,CHEBI:26217
163938,CHEBI:132952
163953,CHEBI:16737
163956,CHEBI:16737
163974,PR:000050367
164016,CHEBI:36080
164031,CHEBI:16113
164034,CHEBI:47775
164040,CHEBI:27563
164091,CHEBI:8107
164109,CHEBI:2663
164142,CHEBI:17234
164151,CHEBI:16113
164154,CHEBI:26712
164442,CHEBI:3219
164451,CHEBI:47499
164460,CHEBI:7640
164466,CHEBI:28593
164475,CHEBI:17234
164478,CHEBI:17234
164502,CHEBI:4551
164508,CHEBI:16526
164511,CHEBI:22985
164577,CHEBI:3766
164598,CHEBI:2637
164904,CHEBI:15379
164907,CHEBI:28358
164919,CHEBI:47774
165036,CHEBI:9168
165039,CHEBI:36080
165048,CHEBI:168396
165174,CHEBI:15379
165198,CHEBI:6437
165225,CHEBI:30660
165246,CHEBI:17234
165297,CHEBI:47775
165300,PR:000028269
165303,PR:000050343
165333,CHEBI:17087
165336,CHEBI:16301
165345,CHEBI:17234
165348,CHEBI:17347
165375,CHEBI:17234
165378,CHEBI:26712
165381,CHEBI:16526
165384,PR:000003918
165387,CHEBI:16990
165393,CHEBI:28774
165471,CHEBI:17650
165513,PR:000003918
165606,CHEBI:36080
165681,CHEBI:17126
165732,CHEBI:17347
165768,PR:000028269
165771,CHEBI:68641
165957,PR:000050367
165975,CHEBI:47773
166185,CHEBI:17234
166191,CHEBI:17996
166194,CHEBI:36080
166200,PR:000050353
166203,CHEBI:17855
166353,CHEBI:17347
166377,CHEBI:4031
166606,CHEBI:17234
166762,CHEBI:17234
166772,PR:000016583
166802,CHEBI:67011
166856,CHEBI:16714
166862,CHEBI:17234
166890,CHEBI:22985
166892,CHEBI:15379
166894,CHEBI:15379
166940,CHEBI:27584
166994,CHEBI:15379
167004,CHEBI:67194
167030,CHEBI:87897
167044,PR:000003707
167070,CHEBI:17234
167078,CHEBI:32139
167098,CHEBI:25806
167196,CHEBI:47774
167198,CHEBI:16113
167202,CHEBI:47774
167228,CHEBI:132952
167248,CHEBI:28694
167288,CHEBI:2611
167308,CHEBI:17234
167312,CHEBI:30660
167334,PR:000050343
167360,CHEBI:27958
167366,PR:000050367
167440,CHEBI:25806
170468,CHEBI:35143
170469,CHEBI:36080
170470,PR:000050353
170471,CHEBI:16990
170472,CHEBI:8107
170473,CHEBI:16737
170474,CHEBI:17996
170477,PR:000005794
170479,CHEBI:16990
170481,CHEBI:36080
170482,CHEBI:16301
170492,CHEBI:16113
170493,PR:000050367
170494,CHEBI:36080
170496,PR:000016261
170498,PR:000027247
170507,CHEBI:17234
170517,CHEBI:3766
170518,CHEBI:42797
170520,CHEBI:26712
170523,PR:000028269
170542,CHEBI:17698
170546,CHEBI:28177
170551,CHEBI:17833
170556,CHEBI:16737
170570,CHEBI:17126
170584,CHEBI:28694
170603,CHEBI:28001
170608,CHEBI:2637
170615,CHEBI:28864
170619,CHEBI:2673
170623,CHEBI:66964
170625,CHEBI:22693
170626,CHEBI:22720
170648,CHEBI:27958
170661,CHEBI:30660
170679,CHEBI:30660
170680,FOODON:03413761
170685,CHEBI:3306
170696,CHEBI:3228
170715,CHEBI:17381
170727,CHEBI:27563
170753,CHEBI:16737
170756,CHEBI:22985
170770,CHEBI:26712
170777,CHEBI:36080
170791,CHEBI:27584
170798,CHEBI:36080
170803,CHEBI:17347
170804,CHEBI:39026
170806,CHEBI:27563
170821,CHEBI:22720
170824,CHEBI:8428
170827,CHEBI:47780
170831,CHEBI:60579
170832,CHEBI:60579
170842,CHEBI:16990
170843,CHEBI:16737
170846,CHEBI:36080
170848,CHEBI:35143
170882,CHEBI:28864
170889,CHEBI:28001
170892,CHEBI:3228
170901,CHEBI:8107
170941,CHEBI:3387
170942,CHEBI:47781
170952,CHEBI:17234
170953,CHEBI:17234
170962,CHEBI:15379
170990,CHEBI:27958
170992,CHEBI:4710
170995,CHEBI:28593
171073,PR:000013429
171094,CHEBI:16990
171096,CHEBI:17234
171098,CHEBI:16113
171105,CHEBI:60579
171107,CHEBI:15379
171109,CHEBI:25806
