"Ontology ID","label","has curation status","alternative term","definition","definition source","example of usage","editor note","term editor","ontology term requester","term tracker item","logical type","logical note","parent class","material processing technique","detection technique","evaluant","analyte","device","reagent","molecular label","input","output","target entity","objective","associated axioms","database cross reference IRI"
"ID","A rdfs:label","AI has curation status","A alternative term SPLIT=|","A definition SPLIT=|","A definition source SPLIT=|","A example of usage SPLIT=|","A editor note SPLIT=|","A term editor SPLIT=|","A ontology term requester","AI term tracker item","CLASS_TYPE","","C % SPLIT=|","C 'has part' some % SPLIT=|","C 'has part' some % SPLIT=|","C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))","C has_specified_input some %","C has_specified_output some %","C has_specified_output some ('is about' some %)","C achieves_planned_objective some %","C %","AI oboInOwl:hasDbXref"
"turbo:TURBO_3000001","Quantitative assay for Lymphocytes in Cerebral spinal fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Cerebral spinal fluid; analyte: Lymphocytes, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'cerebrospinal fluid specimen'","'lymphocyte'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:10328-3"
"turbo:TURBO_3000002","Quantitative assay for Monocytes in Body fluid specimen , normalized by 100 leukocytes (Manual count) [percent]","","Monocytes/100 leukocytes in Body fluid by Manual count","A(n) 'assay of specimen from organism' with evaluant: Body fluid; analyte: Monocytes, normalized by 100 leukocytes ; using a(n) Manual count method ; reporting (a) percent","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'bodily fluid specimen'","'monocyte'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'percent')","","","","loinc:10330-9"
"turbo:TURBO_3000003","Quantitative assay for Temazepam in Serum or Plasma specimen [mass per unit volume]","","Temazepam [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Temazepam; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'Temazepam'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10343-2"
"turbo:TURBO_3000004","Assay for Ab.IgA against Endomysium in Serum specimen [categorical measurement datum]","","Endomysium IgA Ab [Presence] in Serum","A(n) 'assay of specimen from organism' with evaluant: Serum; analyte: Ab.IgA against Endomysium; reporting (a) categorical measurement datum","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'blood serum specimen'","('IgA immunoglobulin complex' and 'has disposition to bind' some 'endomysium')","","","","","'categorical measurement datum'","","","","loinc:10362-2"
"turbo:TURBO_3000005","Quantitative assay for Cotinine in Serum or Plasma specimen [mass per unit volume]","","Cotinine [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Cotinine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'(-)-cotinine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10365-5"
"turbo:TURBO_3000006","Quantitative assay for Cotinine in Urine specimen [mass per unit volume]","","Cotinine [Mass/volume] in Urine","A(n) 'assay of specimen from organism' with evaluant: Urine; analyte: Cotinine; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'urine specimen'","'(-)-cotinine'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10366-3"
"turbo:TURBO_3000007","Quantitative assay for Lead in Blood capillary specimen [mass per unit volume]","","Lead [Mass/volume] in Capillary blood","A(n) 'assay of specimen from organism' with evaluant: Blood capillary; analyte: Lead; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","'capillary blood specimen'","'lead atom'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10368-9"
"turbo:TURBO_3000008","Quantitative assay for Lutropin in Serum or Plasma specimen [arbitrary clinical concentration/abundance unit]","","Lutropin [Units/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Lutropin; reporting (a) arbitrary clinical concentration/abundance unit","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'Luteinizing hormone'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'arbitrary clinical concentration/abundance unit')","","","","loinc:10501-5"
"turbo:TURBO_3000009","Quantitative assay for Digoxin in Serum or Plasma specimen [mass per unit volume]","","Digoxin [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: Digoxin; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'digoxin'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10535-3"
"turbo:TURBO_3000010","Quantitative assay for glipiZIDE in Serum or Plasma specimen [mass per unit volume]","","Glipizide [Mass/volume] in Serum or Plasma","A(n) 'assay of specimen from organism' with evaluant: Serum or Plasma; analyte: glipiZIDE; reporting (a) mass per unit volume","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","ghi:1153","subclass","","'assay of specimen from organism'","","","('blood serum specimen' or 'blood plasma specimen')","'glipizide'","","","","","('scalar measurement datum' and 'has measurement unit label' some 'mass per unit volume')","","","","loinc:10539-5"
