"LoincNumber"	"LongCommonName"	"PartNumber"	"PartName"	"PartCodeSystem"	"PartTypeName"	"LinkTypeName"	"Property"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP14635-4"	"Glucose"	"http://loinc.org"	"COMPONENT"	"Primary"	"http://loinc.org/property/COMPONENT"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP6827-2"	"MCnc"	"http://loinc.org"	"PROPERTY"	"Primary"	"http://loinc.org/property/PROPERTY"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP6960-1"	"Pt"	"http://loinc.org"	"TIME"	"Primary"	"http://loinc.org/property/TIME_ASPCT"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7576-4"	"Ser/Plas"	"http://loinc.org"	"SYSTEM"	"Primary"	"http://loinc.org/property/SYSTEM"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7753-9"	"Qn"	"http://loinc.org"	"SCALE"	"Primary"	"http://loinc.org/property/SCALE_TYP"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP14635-4"	"Glucose"	"http://loinc.org"	"COMPONENT"	"DetailedModel"	"http://loinc.org/property/analyte"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP6827-2"	"MCnc"	"http://loinc.org"	"PROPERTY"	"DetailedModel"	"http://loinc.org/property/PROPERTY"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP6960-1"	"Pt"	"http://loinc.org"	"TIME"	"DetailedModel"	"http://loinc.org/property/time-core"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7576-4"	"Ser/Plas"	"http://loinc.org"	"SYSTEM"	"DetailedModel"	"http://loinc.org/property/system-core"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7753-9"	"Qn"	"http://loinc.org"	"SCALE"	"DetailedModel"	"http://loinc.org/property/SCALE_TYP"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP14635-4"	"Glucose"	"http://loinc.org"	"COMPONENT"	"SyntaxEnhancement"	"http://loinc.org/property/analyte-core"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7479-1"	"Plas"	"http://loinc.org"	"SYSTEM"	"Search"	"http://loinc.org/property/search"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7567-3"	"Ser"	"http://loinc.org"	"SYSTEM"	"Search"	"http://loinc.org/property/search"
"2345-7"	"Glucose [Mass/volume] in Serum or Plasma"	"LP7786-9"	"CHEM"	"http://loinc.org"	"CLASS"	"Metadata"	"http://loinc.org/property/CLASS"
