"FK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","""COUNT(1)"""
6770003,OB SERVER RPT,OB SERVER RPT,,14178088
4859910,POC Glucose,Glucose Point of Care,"2339-0",9392391
4855790,nrH/H,HGB HCT QC Check (Non Reportable),,9336837
4855553,Hgb,Hemoglobin,"718-7",8896900
4867119,Sodium Lvl,Sodium Level,"2951-2",8814453
4855917,Potassium Lvl,Potassium Level,"2823-3",8746265
4859533,Hct,Hematocrit,"4544-3",8708310
4855090,Anion Gap,Anion Gap,"33037-3",8156806
4857317,Creatinine,Creatinine,"2160-0",8112376
4856264,Chloride,Chloride,"2075-0",8054256
4864303,WBC,White Blood Cell,"6690-2",8031705
4859711,MCHC,Mean Cell Hemoglobin Concentration,"786-4",8030505
4861969,RDW,Red Cell Distribution Width,"788-0",8029094
4856711,MCH,Mean Cell Hemoglobin,"785-6",8027079
4857899,Platelet,Platelet,"777-3",8027053
4860712,MCV,Mean Cell Volume,"787-2",8026198
4855967,RBC,Red Blood Cell,"789-8",8022149
4862187,BUN,Blood Urea Nitrogen,"3094-0",7984579
4859284,CO2,Carbon Dioxide,"2028-9",7974833
4859791,nrIWBC,LH785 corrected WBC,,7803393
4858513,Glucose Lvl,Glucose Level,"2345-7",7515225
4862201,Calcium Lvl,Calcium Level Total,"17861-6",7371096
4858792,nrRBCPOP,RBCPOP (Non Reportable),,5385568
4856087,ANC,Absolute Neutrophil Count,"751-8",4340554
4858415,% Eos Auto,% Eosinophil Automated,"713-8",4339916
4858135,% Basophil Auto,% Basophil Automated,"706-2",4339907
4860769,% Neutro Auto,% Neutrophil Automated,"770-8",4339884
4857700,% Lymph Auto,% Lymphocyte Automated,"736-9",4339867
4855737,% Mono Auto,% Monocyte Automated,"5905-5",4339835
4855070,ALC,Absolute Lymphocyte Count,"6690-2",4339691
4855079,AMC,Absolute Monocyte Count,"742-7",4339058
4857060,AEC,Absolute Eosinophil,"711-2",4315311
