FK_LAB_RESULT_ITEM_ID,LAB_RESULT_ITEM_CODE,LAB_RESULT_ITEM_DESCRIPTION,LOINC,ordercount,loinc_uri
4859910,POC Glucose,Glucose Point of Care,2339-0,9392391,http://purl.bioontology.org/ontology/LNC/2339-0
4855553,Hgb,Hemoglobin,718-7,8896900,http://purl.bioontology.org/ontology/LNC/718-7
4867119,Sodium Lvl,Sodium Level,2951-2,8814453,http://purl.bioontology.org/ontology/LNC/2951-2
4855917,Potassium Lvl,Potassium Level,2823-3,8746265,http://purl.bioontology.org/ontology/LNC/2823-3
4859533,Hct,Hematocrit,4544-3,8708310,http://purl.bioontology.org/ontology/LNC/4544-3
4855090,Anion Gap,Anion Gap,33037-3,8156806,http://purl.bioontology.org/ontology/LNC/33037-3
4857317,Creatinine,Creatinine,2160-0,8112376,http://purl.bioontology.org/ontology/LNC/2160-0
4856264,Chloride,Chloride,2075-0,8054256,http://purl.bioontology.org/ontology/LNC/2075-0
4864303,WBC,White Blood Cell,6690-2,8031705,http://purl.bioontology.org/ontology/LNC/6690-2
4859711,MCHC,Mean Cell Hemoglobin Concentration,786-4,8030505,http://purl.bioontology.org/ontology/LNC/786-4
4861969,RDW,Red Cell Distribution Width,788-0,8029094,http://purl.bioontology.org/ontology/LNC/788-0
4856711,MCH,Mean Cell Hemoglobin,785-6,8027079,http://purl.bioontology.org/ontology/LNC/785-6
4857899,Platelet,Platelet,777-3,8027053,http://purl.bioontology.org/ontology/LNC/777-3
4860712,MCV,Mean Cell Volume,787-2,8026198,http://purl.bioontology.org/ontology/LNC/787-2
4855967,RBC,Red Blood Cell,789-8,8022149,http://purl.bioontology.org/ontology/LNC/789-8
4862187,BUN,Blood Urea Nitrogen,3094-0,7984579,http://purl.bioontology.org/ontology/LNC/3094-0
4859284,CO2,Carbon Dioxide,2028-9,7974833,http://purl.bioontology.org/ontology/LNC/2028-9
4858513,Glucose Lvl,Glucose Level,2345-7,7515225,http://purl.bioontology.org/ontology/LNC/2345-7
4862201,Calcium Lvl,Calcium Level Total,17861-6,7371096,http://purl.bioontology.org/ontology/LNC/17861-6
4856087,ANC,Absolute Neutrophil Count,751-8,4340554,http://purl.bioontology.org/ontology/LNC/751-8
4858415,% Eos Auto,% Eosinophil Automated,713-8,4339916,http://purl.bioontology.org/ontology/LNC/713-8
4858135,% Basophil Auto,% Basophil Automated,706-2,4339907,http://purl.bioontology.org/ontology/LNC/706-2
4860769,% Neutro Auto,% Neutrophil Automated,770-8,4339884,http://purl.bioontology.org/ontology/LNC/770-8
4857700,% Lymph Auto,% Lymphocyte Automated,736-9,4339867,http://purl.bioontology.org/ontology/LNC/736-9
4855737,% Mono Auto,% Monocyte Automated,5905-5,4339835,http://purl.bioontology.org/ontology/LNC/5905-5
4855070,ALC,Absolute Lymphocyte Count,6690-2,4339691,http://purl.bioontology.org/ontology/LNC/6690-2
4855079,AMC,Absolute Monocyte Count,742-7,4339058,http://purl.bioontology.org/ontology/LNC/742-7
4857060,AEC,Absolute Eosinophil,711-2,4315311,http://purl.bioontology.org/ontology/LNC/711-2
4861038,ABC.,Absolute Basophil Count,704-7,4265925,http://purl.bioontology.org/ontology/LNC/704-7
4862149,Bili Total,Bilirubin Total,1975-2,3830948,http://purl.bioontology.org/ontology/LNC/1975-2
4860077,ALT,Alanine Aminotransferase,1742-6,3637131,http://purl.bioontology.org/ontology/LNC/1742-6
4862121,AST,Aspartate Aminotransferase,1920-8,3631776,http://purl.bioontology.org/ontology/LNC/1920-8
4862073,Alk Phos,Alkaline Phosphatase,6768-6,3625278,http://purl.bioontology.org/ontology/LNC/6768-6
4862705,Magnesium,Magnesium Level,19123-9,3322951,http://purl.bioontology.org/ontology/LNC/19123-9
4862069,Albumin Lvl,Albumin Level,1751-7,3155642,http://purl.bioontology.org/ontology/LNC/1751-7
4855633,INR,International Normalization Ratio,6301-6,3131581,http://purl.bioontology.org/ontology/LNC/6301-6
4855947,PT,Prothrombin Time,5902-2,3130930,http://purl.bioontology.org/ontology/LNC/5902-2
4855955,PTT,Partial Thromboplastin Time,14979-9,3031269,http://purl.bioontology.org/ontology/LNC/14979-9
4866199,Total Protein,Protein Total,2885-2,2980998,http://purl.bioontology.org/ontology/LNC/2885-2
163041,SODIUM,C SODIUM,2951-2,2778533,http://purl.bioontology.org/ontology/LNC/2951-2
170473,CREATININE,C CREATININE,2160-0,2759592,http://purl.bioontology.org/ontology/LNC/2160-0
170474,CHLORIDE,C CHLORIDE,2075-0,2727370,http://purl.bioontology.org/ontology/LNC/2075-0
159159,HEMOGLOBIN,C HEMOGLOBIN,718-7,2649090,http://purl.bioontology.org/ontology/LNC/718-7
163092,CALCIUM,C CALCIUM,17861-6,2648109,http://purl.bioontology.org/ontology/LNC/17861-6
163044,CARBON DIOXIDE,C CARBON DIOXIDE,2028-9,2636616,http://purl.bioontology.org/ontology/LNC/2028-9
170467,HEMATOCRIT,C HEMATOCRIT,4544-3,2628642,http://purl.bioontology.org/ontology/LNC/4544-3
4860505,GFR-AA,GFR-African American,48643-1,2535253,http://purl.bioontology.org/ontology/LNC/48643-1
4861505,GFR-NAA,GFR-Non African American,48642-3,2535245,http://purl.bioontology.org/ontology/LNC/48642-3
159166,POTASSIUM,C POTASSIUM,2823-3,2513309,http://purl.bioontology.org/ontology/LNC/2823-3
163023,MEAN CELLULAR VOLUME,C MCV,787-2,2505032,http://purl.bioontology.org/ontology/LNC/787-2
163026,PLATELETS,C PLATELETS,777-3,2504960,http://purl.bioontology.org/ontology/LNC/777-3
159161,RDW,C RDW,788-0,2504405,http://purl.bioontology.org/ontology/LNC/788-0
163020,RED BLOOD CELLS,C RED BLOOD CELLS,789-8,2504024,http://purl.bioontology.org/ontology/LNC/789-8
159158,WBC,C WHITE BLOOD CELLS,6690-2,2502306,http://purl.bioontology.org/ontology/LNC/6690-2
159160,MEAN CELLULAR HEMOGLOBIN,C MCH,785-6,2491958,http://purl.bioontology.org/ontology/LNC/785-6
170468,MEAN CELLULAR HEMOGLOBIN CONCENTRATION,C MCHC,786-4,2491850,http://purl.bioontology.org/ontology/LNC/786-4
