"loinc.part","part.name","labeled.paths","plus","period","obo_id","domain","ontology.priority","ols.search.rank","obo label","loinc.vs.label.cosine","best.match","best.cosine","iri","ontology_prefix","short_form","ontology_name","bp.onto.iri"
"LP101521-5","monocytes.cd59 deficient","Lab -> CELLMARK -> NA -> Cells.CD59 deficient",FALSE,TRUE,"DOID:0090106","pheonotypes",4,18,"bh4-deficient hyperphenylalaninemia a",0.372834916262676,"pts deficiency",0.142805384585477,"http://purl.obolibrary.org/obo/DOID_0090106","DOID","DOID_0090106","doid","http://data.bioontology.org/ontologies/DOID"
"LP101521-5","monocytes.cd59 deficient","Lab -> CELLMARK -> NA -> Cells.CD59 deficient",FALSE,TRUE,"HP:0011735","pheonotypes",20,17,"adrenocorticotropin deficient adrenal insufficiency",0.159242977866685,"adrenocorticotropin deficient adrenal insufficiency",0.159242977866685,"http://purl.obolibrary.org/obo/HP_0011735","HP","HP_0011735","hp","http://data.bioontology.org/ontologies/HP"
"LP101521-5","monocytes.cd59 deficient","Lab -> CELLMARK -> NA -> Cells.CD59 deficient",FALSE,TRUE,"MONDO:0009863","pheonotypes",13,14,"bh4-deficient hyperphenylalaninemia a",0.372834916262676,"pts deficiency",0.142805384585477,"http://purl.obolibrary.org/obo/MONDO_0009863","MONDO","MONDO_0009863","mondo","http://data.bioontology.org/ontologies/MONDO"
"LP102300-3","pm-scl-100","Lab -> SERO",FALSE,FALSE,"PR:000007258","proteins/genes",5,1,"exosome component 10",0.677670814389848,"pm/scl-100",0.0741799002274485,"http://purl.obolibrary.org/obo/PR_000007258","PR","PR_000007258","pr","http://data.bioontology.org/ontologies/PR"
"LP102300-3","pm-scl-100","Lab -> SERO",FALSE,FALSE,"NCBITaxon:494273","organisms",7,30,"porphyra sp. scl-2008-1",0.315263211982539,"porphyra sp. scl-2008-1",0.315263211982539,"http://purl.obolibrary.org/obo/NCBITaxon_494273","NCBITAXON","NCBITaxon_494273","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP102619-6","aquaporin 4 water channel","Lab -> SERO",FALSE,FALSE,"GO:1902433","go",16,111,"positive regulation of water channel activity involved in maintenance of lens transparency",0.131096870266556,"up regulation of aquaporin involved in maintenance of ocular lens transparency",0.0861453734173553,"http://purl.obolibrary.org/obo/GO_1902433","GO","GO_1902433","go","http://data.bioontology.org/ontologies/GO"
"LP102619-6","aquaporin 4 water channel","Lab -> SERO",FALSE,FALSE,"PR:Q9Y696","proteins/genes",5,65,"chloride intracellular channel protein 4 (human)",0.109801802861475,"chloride intracellular channel protein 4 (human)",0.109801802861475,"http://purl.obolibrary.org/obo/PR_Q9Y696","PR","PR_Q9Y696","pr","http://data.bioontology.org/ontologies/PR"
"LP104997-4","choriogonadotropin (pregnancy test)","Lab -> Chemistry and Chemistry challenge -> CHEM -> Endocrine -> NA -> Choriogonadotropin",FALSE,FALSE,"GO:0035472","go",16,3,"choriogonadotropin hormone receptor activity",0.0645278492374532,"choriogonadotropin hormone receptor activity",0.0645278492374532,"http://purl.obolibrary.org/obo/GO_0035472","GO","GO_0035472","go","http://data.bioontology.org/ontologies/GO"
"LP104998-2","choriogonadotropin.beta subunit (pregnancy test)","Lab -> Chemistry and Chemistry challenge -> CHEM -> Endocrine -> NA -> Choriogonadotropin -> Choriogonadotropin.beta subunit",FALSE,TRUE,"PR:000005391","proteins/genes",5,1,"choriogonadotropin subunit beta",0.0538106629202718,"choriogonadotropin subunit beta",0.0538106629202718,"http://purl.obolibrary.org/obo/PR_000005391","PR","PR_000005391","pr","http://data.bioontology.org/ontologies/PR"
"LP111484-4","ova1 test","Lab -> Chemistry and Chemistry challenge -> CHEM -> NA",FALSE,FALSE,"HP:0410307","pheonotypes",20,19,"positive stool methadone test",0.159539361014193,"positive stool methadone test",0.159539361014193,"http://purl.obolibrary.org/obo/HP_0410307","HP","HP_0410307","hp","http://data.bioontology.org/ontologies/HP"
"LP111530-4","coccidioides sp f","Lab -> Microbiology and Antimicrobial susceptibility -> MICRO -> Microorganism -> Fungus -> Coccidioides sp -> Coccidioides immitis",FALSE,FALSE,"NCBITaxon:2204098","organisms",7,1,"coccidioides sp.",0.0413974134611784,"coccidioides sp.",0.0413974134611784,"http://purl.obolibrary.org/obo/NCBITaxon_2204098","NCBITAXON","NCBITaxon_2204098","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP111532-0","coccidioides sp tp","Lab -> Microbiology and Antimicrobial susceptibility -> MICRO -> Microorganism -> Fungus -> Coccidioides sp",FALSE,FALSE,"VO:0010853","vaccines",9,189,"coccidioides spp. protein",0.0438171125324852,"coccidioides spp. protein",0.0438171125324852,"http://purl.obolibrary.org/obo/VO_0010853","VO","VO_0010853","vo","http://data.bioontology.org/ontologies/VO"
"LP113694-6","chronic urticaria index","Lab -> SERO",FALSE,FALSE,"MONDO:0002133","pheonotypes",13,122,"chronic rheumatic pericarditis",0.0558022273049654,"chronic rheumatic pericarditis",0.0558022273049654,"http://purl.obolibrary.org/obo/MONDO_0002133","MONDO","MONDO_0002133","mondo","http://data.bioontology.org/ontologies/MONDO"
"LP136073-6","pca3 score","Lab -> MOLPATH -> NA",FALSE,FALSE,"NCBITaxon:1866587","organisms",7,8,"microbacterium sp. pca3-3_pa",0.189907412699017,"microbacterium sp. pca3-3_pa",0.189907412699017,"http://purl.obolibrary.org/obo/NCBITaxon_1866587","NCBITAXON","NCBITaxon_1866587","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13921-9","maple","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"FOODON:03306251","food",8,2,"maple spread",0.156725957288432,"maple spread",0.156725957288432,"http://purl.obolibrary.org/obo/FOODON_03306251","FOODON","FOODON_03306251","foodon","http://data.bioontology.org/ontologies/FOODON"
"LP13921-9","maple","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:347681","organisms",7,122,"cryptococcus williamsi",0.670309763302106,"maple scale",0.132278168725375,"http://purl.obolibrary.org/obo/NCBITaxon_347681","NCBITAXON","NCBITaxon_347681","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13928-4","ambrosia elatior","Lab -> ALLERGY -> NA -> NA",FALSE,FALSE,"NCBITaxon:4215","organisms",7,1,"ambrosia artemisiifolia var. elatior",0.038659361008896,"ambrosia elatior",0,"http://purl.obolibrary.org/obo/NCBITaxon_4215","NCBITAXON","NCBITaxon_4215","ncbitaxon","http://data.bioontology.org/ontologies/NCBITAXON"
"LP13936-7","cat dander","Lab -> ALLERGY -> NA -> NA -> Cat",FALSE,FALSE,"DRON:00019407","chemicals/drugs",12,1,"cat dander extract",0.0703303197986318,"cat dander extract",0.0703303197986318,"http://purl.obolibrary.org/obo/DRON_00019407","DRON","DRON_00019407","dron","http://data.bioontology.org/ontologies/DRON"
"LP13937-5","cow dander","Lab -> ALLERGY -> NA -> NA -> Cow -> Cow hair+Cow dander",FALSE,FALSE,"PR:P00376","proteins/genes",5,52,"dihydrofolate reductase (cow)",0.197044931453034,"dihydrofolate reductase (cow)",0.197044931453034,"http://purl.obolibrary.org/obo/PR_P00376","PR","PR_P00376","pr","http://data.bioontology.org/ontologies/PR"
"LP13937-5","cow dander","Lab -> ALLERGY -> NA -> NA -> Cow -> Cow hair+Cow dander",FALSE,FALSE,"PR:P21450","proteins/genes",5,71,"endothelin-1 receptor (cow)",0.299350950254629,"cow-ednra",0.133974596215561,"http://purl.obolibrary.org/obo/PR_P21450","PR","PR_P21450","pr","http://data.bioontology.org/ontologies/PR"
"LP13938-3","dog dander","Lab -> ALLERGY -> NA -> NA -> Dog -> Dog dander+Dog epithelium",FALSE,FALSE,"PR:Q9GJU1","proteins/genes",5,81,"d(2) dopamine receptor (dog)",0.257678191976912,"dog-drd2",0.198216274262727,"http://purl.obolibrary.org/obo/PR_Q9GJU1","PR","PR_Q9GJU1","pr","http://data.bioontology.org/ontologies/PR"
