measurement_source_value,concept_name,count,
72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,12701,
8480-6,BP systolic,10657,http://purl.obolibrary.org/obo/VSO_0000038
8462-4,BP diastolic,10657,
8302-2,Body height,10484,http://purl.obolibrary.org/obo/IAO_0000408
29463-7,Body weight,10484,http://purl.obolibrary.org/obo/IAO_0000414
72166-2,Tobacco smoking status NHIS,10484,
39156-5,Body mass index,9137,
2069-3,Chloride [Moles/volume] in Blood,4710,
6299-2,Urea nitrogen [Mass/volume] in Blood,4710,
6298-4,Potassium [Moles/volume] in Blood,4710,
49765-1,Calcium [Mass/volume] in Blood,4710,
38483-4,Creatinine [Mass/volume] in Blood,4710,
2947-0,Sodium [Moles/volume] in Blood,4710,
2339-0,Glucose [Mass/volume] in Blood,4710,
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",4710,
33914-3,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",4370,
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,3882,
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,3882,
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,3882,
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,3882,
4548-4,Hemoglobin A1c (Glycated),3446,
718-7,Hemoglobin,2245,
785-6,MCH [Entitic mass] by Automated count,2231,
789-8,Erythrocytes [#/volume] in Blood by Automated count,2231,
32207-3,Platelet distribution width [Entitic volume] in Blood by Automated count,2231,
777-3,Platelets [#/volume] in Blood by Automated count,2231,
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,2231,
787-2,MCV [Entitic volume] by Automated count,2231,
6690-2,Leukocytes [#/volume] in Blood by Automated count,2231,
21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,2231,
786-4,MCHC [Mass/volume] by Automated count,2231,
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,2231,
14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine,1484,
1751-7,Albumin serum/plasma,1218,
1920-8,Aspartate aminotransferase serum/plasma,1218,
10834-0,Globulin [Mass/volume] in Serum by calculation,1218,
6768-6,Alkaline phosphatase serum/plasma,1218,
2885-2,Protein serum/plasma,1218,
1742-6,Alanine aminotransferase serum/plasma,1218,
1975-2,Total Bilirubin serum/plasma,1216,
74006-8,Weight difference [Mass difference] --pre dialysis - post dialysis,1214,
8331-1,Oral temperature,868,
5767-9,Appearance of Urine,770,
104091002,"Hemogram, automated, with RBC, WBC, Hgb, Hct, Indices, Platelet count, and manual WBC differential",661,
252160004,Standard pregnancy test,520,
5802-4,Nitrite [Presence] in Urine by Test strip,385,
20454-5,Protein [Presence] in Urine by Test strip,385,
5811-5,Specific gravity of Urine by Test strip,385,
25428-4,Glucose [Presence] in Urine by Test strip,385,
5799-2,Leukocyte esterase [Presence] in Urine by Test strip,385,
5797-6,Ketones [Mass/volume] in Urine by Test strip,385,
5794-3,Hemoglobin [Presence] in Urine by Test strip,385,
5792-7,Glucose urine dipstick,385,
5778-6,Color of Urine,385,
5770-3,Bilirubin.total [Presence] in Urine by Test strip,385,
2514-8,Ketones urine dipstick,385,
32167-9,Clarity of Urine,385,
5804-0,Protein [Mass/volume] in Urine by Test strip,385,
20505-4,Bilirubin.total [Mass/volume] in Urine by Test strip,385,
5803-2,pH of Urine by Test strip,385,
47758006,Hepatitis B surface antigen measurement,337,
269828009,Syphilis infectious titer test,337,
28163009,"Skin test for tuberculosis, Tine test",337,
310861008,Chlamydia antigen test,337,
31676001,HIV antigen test,337,
167271000,Urine protein test,337,
165829005,Gonorrhea infection titer test,337,
395123002,Urine screening test for diabetes,337,
44608003,Blood group typing,337,
117010004,Urine culture,337,
104375008,"Hepatitis C antibody, confirmatory test",337,
104326007,Measurement of Varicella-zoster virus antibody,337,
117015009,Throat culture,327,
275833003,Alpha-fetoprotein test - antenatal,324,
268556000,Urine screening for glucose,324,
19926-5,FEV1/FVC,316,
127783003,Spirometry,316,
118001005,Streptococcus pneumoniae group B antigen assay,306,
23426006,Measurement of respiratory function,267,
10230-1,Cardiac ejection fraction,170,
63513-6,Are you covered by health insurance or some other kind of health care plan [PhenX],140,
46240-8,History of Hospitalizations+Outpatient visits Narrative,140,
55277-8,HIV status,140,
76690-7,Sexual orientation,140,
2857-1,PSA serum/plasma,121,
32465-7,Physical findings of Prostate,121,
6833-8,Cat dander IgE Ab [Units/volume] in Serum,83,
7258-7,Cow milk IgE Ab [Units/volume] in Serum,83,
6844-5,Honey bee IgE Ab [Units/volume] in Serum,83,
6246-3,Shrimp IgE Ab [Units/volume] in Serum,83,
6248-9,Soybean IgE Ab [Units/volume] in Serum,83,
6273-7,Walnut IgE Ab [Units/volume] in Serum,83,
6276-0,Wheat IgE Ab [Units/volume] in Serum,83,
6075-6,Cladosporium herbarum IgE Ab [Units/volume] in Serum,83,
6082-2,Codfish IgE Ab [Units/volume] in Serum,83,
6085-5,Common Ragweed IgE Ab [Units/volume] in Serum,83,
6095-4,American house dust mite IgE Ab [Units/volume] in Serum,83,
6106-9,Egg white IgE Ab [Units/volume] in Serum,83,
6158-0,Latex IgE Ab [Units/volume] in Serum,83,
6189-5,White Oak IgE Ab [Units/volume] in Serum,83,
6206-7,Peanut IgE Ab [Units/volume] in Serum,83,
38265-5,DXA Radius and Ulna [T-score] Bone density,82,
169673001,Antenatal RhD antibody screening,57,
57905-2,Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --1st specimen,55,
33756-8,Polyp size greatest dimension,55,
33762-6,NT proBNP serum/plasma,53,
46288-7,US Guidance for biopsy of Prostate,22,
20570-8,Hematocrit,14,
66529-9,Percentage area affected by eczema Trunk [PhenX],8,
66534-9,Percentage area affected by eczema Lower extremity - bilateral [PhenX],8,
66519-0,Percentage area affected by eczema Head and Neck [PhenX],8,
66524-0,Percentage area affected by eczema Upper extremity - bilateral [PhenX],8,
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,4,
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,4,
2028-9,Carbon dioxide serum/plasma,2,
26453-1,Red blood cell (RBC) count,2,
17861-6,Calcium serum/plasma serum/plasma,2,
26515-7,Platelet count,2,
2951-2,Sodium serum/plasma,2,
2823-3,Potassium serum/plasma,2,
30385-9,Erythrocyte distribution width [Ratio],2,
2345-7,Glucose lab,2,
30428-7,MCV,2,
2160-0,Creatinine serum/plasma,2,
3094-0,Urea nitrogen serum/plasma,2,
33037-3,Anion gap serum/plasma,2,
26464-8,White Blood cell (WBC) count (leukocyte),2,
2075-0,Chloride serum/plasma,2,
80271-0,Physical findings of Abdomen by Palpation,2,
42719-5,Bilirubin.total [Mass/volume] in Blood,2,
75443-2,Mental health Outpatient Note,1,
