"LoincNumber","priority","LongCommonName","PartNumber","PartName","PartCodeSystem","PartTypeName","LinkTypeName","Property","loinc.part.name","obo.uri","obo.label","rank","justification"
"10360-6",4,"DNA single strand IgG Ab [Units/volume] in Serum","LP18329-0","DNA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","DNA","http://purl.obolibrary.org/obo/GO_0006310","",NA,"BioPortal mapping"
"10374-7",4,"Helmet cells [Presence] in Blood by Light microscopy","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"10381-2",4,"Target cells [Presence] in Blood by Light microscopy","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"10543-7",4,"Methsuximide+Normethsuximide [Mass/volume] in Serum or Plasma","LP14724-6","Methsuximide","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Methsuximide","http://purl.obolibrary.org/obo/CHEBI_6846","Methsuximide",NA,"LOINC provided mappings"
"10835-7",4,"Lipoprotein a [Mass/volume] in Serum or Plasma","LP15711-2","Lipoprotein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lipoprotein","http://purl.obolibrary.org/obo/CHEBI_6495","lipoprotein",NA,"LOINC provided mappings"
"10843-1",4,"Deprecated HLA-DQ2 [Presence]","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"10896-9",4,"Eastern equine encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"10897-7",4,"Eastern equine encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"10899-3",4,"Eastern equine encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"10900-9",4,"Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay","LP14306-2","Hepatitis B virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407","Hepatitis B virus",NA,"LOINC provided mappings"
"10900-9",4,"Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"10904-1",4,"La Crosse virus IgG Ab [Titer] in Serum by Immunofluorescence","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
