"","PartTypeName.x","PartTypeVal","pds.count","PartTypeName.y","PartName","PartDisplayName","Status"
"483","SYSTEM","LP157285-0",4924,"SYSTEM","Ser/Plas+CSF","Serum or Plasma and CSF","ACTIVE"
"851","SYSTEM","LP185795-4",17.6666666666667,"SYSTEM","Plas.cfDNA","Plasma cell-free DNA","ACTIVE"
"953","SYSTEM","LP21304-8",69891.0769230769,"SYSTEM","Bld.dot","DBS","ACTIVE"
"1080","SYSTEM","LP266970-5",16,"SYSTEM","Isolate/Specimen","Isolate or Specimen","ACTIVE"
"1082","SYSTEM","LP281728-8",29,"SYSTEM","^BPU","^BPU","ACTIVE"
"1083","SYSTEM","LP281750-2",597,"SYSTEM","^Family member","^Family member","ACTIVE"
"1084","SYSTEM","LP281760-1",922,"SYSTEM","^Mother","^Mother","ACTIVE"
"1171","SYSTEM","LP28582-2",4776.4,"SYSTEM","BldCoA","Blood cord arterial","ACTIVE"
"1177","SYSTEM","LP28583-0",413.8,"SYSTEM","BldCoV","Blood cord venous","ACTIVE"
"1349","SYSTEM","LP30139-7",35,"SYSTEM","Nuchal fold^fetus","Nuchal fold^fetus","ACTIVE"
"1350","SYSTEM","LP30364-1",4519,"SYSTEM","Urethra","Urethra","ACTIVE"
"1356","SYSTEM","LP30522-4",923,"SYSTEM","Hereditary","Hereditary","ACTIVE"
"1458","SYSTEM","LP310004-9",1352,"SYSTEM","^Fetus","^Fetus","ACTIVE"
"1459","SYSTEM","LP310005-6",59831.6046511628,"SYSTEM","^Patient","^Patient","ACTIVE"
"1484","SYSTEM","LP32517-2",5144.33333333333,"SYSTEM","Urine+Ser/Plas","Urine and Serum or Plasma","ACTIVE"
"1494","SYSTEM","LP32887-9",71562,"SYSTEM","{Setting}","{Setting}","ACTIVE"
"1563","SYSTEM","LP36286-0",3238,"SYSTEM","Retic","Reticulocytes","ACTIVE"
"1589","SYSTEM","LP36892-5",116,"SYSTEM","Facility","Facility","ACTIVE"
"2254","SYSTEM","LP6989-0",2685.83333333333,"SYSTEM","Reference lab test","Reference lab test","ACTIVE"
"2257","SYSTEM","LP7000-5",1221.92307692308,"SYSTEM","Amnio fld","Amniotic fluid","ACTIVE"
"2265","SYSTEM","LP7034-4",15,"SYSTEM","Arterial system","Arterial system","ACTIVE"
"2267","SYSTEM","LP7057-5",685369.224719101,"SYSTEM","Bld","Blood","ACTIVE"
"2271","SYSTEM","LP7060-9",872.25,"SYSTEM","Bld/Bone mar","Blood or Marrow","ACTIVE"
"2272","SYSTEM","LP7061-7",940.651376146789,"SYSTEM","Bld/Tiss","Blood or Tissue","ACTIVE"
"2275","SYSTEM","LP7067-4",921869.090909091,"SYSTEM","BldA","Blood arterial","ACTIVE"
"2276","SYSTEM","LP7068-2",171732.75,"SYSTEM","BldC","Blood capillary","ACTIVE"
"2277","SYSTEM","LP7069-0",31262.6666666667,"SYSTEM","BldCo","Blood cord","ACTIVE"
"2278","SYSTEM","LP7073-2",370734.133333333,"SYSTEM","BldV","Blood venous","ACTIVE"
"2280","SYSTEM","LP7096-3",4614.14285714286,"SYSTEM","Calculus","Calculus (stone)","ACTIVE"
"2288","SYSTEM","LP7156-5",5490.14035087719,"SYSTEM","CSF","Cerebral spinal fluid","ACTIVE"
"2290","SYSTEM","LP7161-5",14833,"SYSTEM","Cvm","Cervical mucus","ACTIVE"
"2291","SYSTEM","LP7162-3",44083.5,"SYSTEM","Cvx","Cervix","ACTIVE"
"2292","SYSTEM","LP7163-1",110995.2,"SYSTEM","Cvx/Vag","Cervix or Vagina","ACTIVE"
"2295","SYSTEM","LP7180-5",19601.6666666667,"SYSTEM","Dose","Dose","ACTIVE"
"2297","SYSTEM","LP7214-2",104,"SYSTEM","Exhl gas","Exhaled gas","ACTIVE"
"2299","SYSTEM","LP7218-3",15,"SYSTEM","Eye","Eye","ACTIVE"
"2305","SYSTEM","LP7238-1",22651.0526315789,"SYSTEM","Body fld","Body fluid","ACTIVE"
"2306","SYSTEM","LP7252-2",21,"SYSTEM","Tiss fixed","Fixed tissue","ACTIVE"
"2310","SYSTEM","LP7271-2",976,"SYSTEM","Vag","Vaginal","ACTIVE"
"2325","SYSTEM","LP7354-6",401700.5,"SYSTEM","Inhl gas","Inhaled gas","ACTIVE"
"2327","SYSTEM","LP7370-2",321.625,"SYSTEM","Isolate","Isolate","ACTIVE"
"2330","SYSTEM","LP7400-7",74.5,"SYSTEM","Liver","Liver","ACTIVE"
"2332","SYSTEM","LP7410-6",4195.64285714286,"SYSTEM","Bone mar","Bone marrow","ACTIVE"
"2333","SYSTEM","LP7413-0",1132.4,"SYSTEM","Meconium","Meconium","ACTIVE"
"2334","SYSTEM","LP7415-5",30,"SYSTEM","Medication.current","Medication current","ACTIVE"
"2336","SYSTEM","LP7459-3",70,"SYSTEM","Oxygen delivery system","Oxygen delivery system","ACTIVE"
"2337","SYSTEM","LP7466-8",11,"SYSTEM","Pericard fld","Pericardial fluid","ACTIVE"
"2338","SYSTEM","LP7479-1",4083.41666666667,"SYSTEM","Plas","Plasma","ACTIVE"
"2339","SYSTEM","LP7486-6",355,"SYSTEM","Plr fld","Pleural fluid","ACTIVE"
"2340","SYSTEM","LP7494-0",209913.952380952,"SYSTEM","PPP","Platelet poor plasma","ACTIVE"
"2341","SYSTEM","LP7504-6",4666,"SYSTEM","Provider","Provider","ACTIVE"
"2342","SYSTEM","LP7506-1",59.25,"SYSTEM","PRP","Platelet rich plasma","ACTIVE"
"2343","SYSTEM","LP7507-9",63,"SYSTEM","Periton fld","Peritoneal fluid","ACTIVE"
"2344","SYSTEM","LP7536-8",2220670.47619048,"SYSTEM","RBC","Red Blood Cells","ACTIVE"
"2345","SYSTEM","LP7554-1",145,"SYSTEM","Report","Report","ACTIVE"
"2346","SYSTEM","LP7556-6",15513.4,"SYSTEM","Respiratory system","Respiratory system","ACTIVE"
"2347","SYSTEM","LP7558-2",2008.5,"SYSTEM","Respiratory system.airway","Respiratory system airway","ACTIVE"
"2348","SYSTEM","LP7565-7",845,"SYSTEM","Saliva","Saliva","ACTIVE"
"2349","SYSTEM","LP7567-3",7746.96381578947,"SYSTEM","Ser","Serum","ACTIVE"
"2350","SYSTEM","LP7569-9",4775,"SYSTEM","Ser+CSF","Serum and CSF","ACTIVE"
"2351","SYSTEM","LP7576-4",248103.34320323,"SYSTEM","Ser/Plas","Serum or Plasma","ACTIVE"
"2352","SYSTEM","LP7579-8",1796550.5,"SYSTEM","Ser/Plas/Bld","Serum, Plasma or Blood","ACTIVE"
"2353","SYSTEM","LP7589-7",61,"SYSTEM","Semen","Semen","ACTIVE"
"2354","SYSTEM","LP7592-1",271.416666666667,"SYSTEM","Synv fld","Synovial fluid","ACTIVE"
"2355","SYSTEM","LP7593-9",265981.4,"SYSTEM","Specimen","Specimen","ACTIVE"
"2356","SYSTEM","LP76034-5",14328,"SYSTEM","{system}","{system}","ACTIVE"
"2357","SYSTEM","LP7604-4",531.370967741935,"SYSTEM","Stool","Stool","ACTIVE"
"2364","SYSTEM","LP7641-6",686.625,"SYSTEM","Tiss","Tissue and Smears","ACTIVE"
"2365","SYSTEM","LP7681-2",64504.174291939,"SYSTEM","Urine","Urine","ACTIVE"
"2366","SYSTEM","LP7690-3",126511.666666667,"SYSTEM","Urine sed","Urine sediment","ACTIVE"
"2367","SYSTEM","LP7706-7",112407.875,"SYSTEM","Ventilator","Ventilator","ACTIVE"
"2368","SYSTEM","LP7709-1",668,"SYSTEM","Ventilator.alarm","Ventilator alarm","ACTIVE"
"2369","SYSTEM","LP7720-8",24.3333333333333,"SYSTEM","WBC","White blood cells","ACTIVE"
"2370","SYSTEM","LP7735-6",26084.2268041237,"SYSTEM","XXX","XXX","ACTIVE"
"2401","SYSTEM","LP97572-9",10293,"SYSTEM","NBS card","NBS card","ACTIVE"
"2402","SYSTEM","LP97574-5",98344,"SYSTEM","Current sample","Current sample","ACTIVE"
