PartTypeVal,pds.count,PartTypeName.y,PartName,PartDisplayName,Status,use,iri
LP7536-8,2220670.5,SYSTEM,RBC,Red Blood Cells,ACTIVE,y,http://purl.obolibrary.org/obo/CL_0000232
LP7579-8,1796550.5,SYSTEM,Ser/Plas/Bld,"Serum, Plasma or Blood",ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001977|http://purl.obolibrary.org/obo/UBERON_0001969|http://purl.obolibrary.org/obo/UBERON_0000178
LP7067-4,921869.1,SYSTEM,BldA,Blood arterial,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0013755
LP7057-5,685369.2,SYSTEM,Bld,Blood,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0000178
LP7073-2,370734.1,SYSTEM,BldV,Blood venous,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0013756
LP7576-4,248103.3,SYSTEM,Ser/Plas,Serum or Plasma,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001977|http://purl.obolibrary.org/obo/UBERON_0001969
LP7068-2,171732.8,SYSTEM,BldC,Blood capillary,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0013757
LP7681-2,64504.2,SYSTEM,Urine,Urine,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001088
LP7069-0,31262.7,SYSTEM,BldCo,Blood cord,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0012168
LP7238-1,22651.1,SYSTEM,Body fld,Body fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0006314
LP7567-3,7747.0,SYSTEM,Ser,Serum,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001977
LP7156-5,5490.1,SYSTEM,CSF,Cerebral spinal fluid,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001359
LP7479-1,4083.4,SYSTEM,Plas,Plasma,ACTIVE,y,http://purl.obolibrary.org/obo/UBERON_0001969
