"Ontology ID","label","has curation status","alternative term","definition","definition source","example of usage","editor note","term editor","ontology term requester","term tracker item","logical type","logical note","parent class","material processing technique","detection technique","evaluant","analyte","device","reagent","molecular label","input","output","target entity","objective","associated axioms","database cross reference IRI"
"ID","A rdfs:label","AI has curation status","A alternative term SPLIT=|","A definition SPLIT=|","A definition source SPLIT=|","A example of usage SPLIT=|","A editor note SPLIT=|","A term editor SPLIT=|","A ontology term requester","AI term tracker item","CLASS_TYPE","","C % SPLIT=|","C 'has part' some % SPLIT=|","C 'has part' some % SPLIT=|","C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|","C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))","C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))","C has_specified_input some %","C has_specified_output some %","C has_specified_output some ('is about' some %)","C achieves_planned_objective some %","C %","AI oboInOwl:hasDbXref"
"turbo:TURBO_3000001","Assay for Antibody against acetylcholine receptor binding in blood serum specimen [molarity]","","","An assay for Antibody against acetylcholine receptor binding in blood serum specimen that generates a scalar datum with molarity units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'blood serum specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'unit of molarity')","'immunoglobulin complex' and 'has disposition to bind' some 'acetylcholine receptor binding'","","",""
"turbo:TURBO_3000002","Assay for IgG against Polistes in blood serum specimen [mass per unit volume concentration]","","","An assay for IgG against Polistes in blood serum specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'blood serum specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'IgG immunoglobulin complex' and 'has disposition to bind' some 'Polistes'","","",""
"turbo:TURBO_3000003","Assay for IgG against Dolichovespula arenaria in blood serum specimen [mass per unit volume concentration]","","","An assay for IgG against Dolichovespula arenaria in blood serum specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'blood serum specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'IgG immunoglobulin complex' and 'has disposition to bind' some 'Dolichovespula arenaria'","","",""
"turbo:TURBO_3000004","Assay for IgG against Dolichovespula maculata in blood serum specimen [mass per unit volume concentration]","","","An assay for IgG against Dolichovespula maculata in blood serum specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'blood serum specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'IgG immunoglobulin complex' and 'has disposition to bind' some 'Dolichovespula maculata'","","",""
"turbo:TURBO_3000005","Assay for Temazepam in blood serum or blood plasma specimen [mass per unit volume concentration]","","","An assay for Temazepam in blood serum or blood plasma specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","('blood serum specimen' or 'blood plasma specimen')","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'Temazepam'","","",""
"turbo:TURBO_3000006","Assay for (-)-cotinine in blood serum or blood plasma specimen [mass per unit volume concentration]","","","An assay for (-)-cotinine in blood serum or blood plasma specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","('blood serum specimen' or 'blood plasma specimen')","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'(-)-cotinine'","","",""
"turbo:TURBO_3000007","Assay for (-)-cotinine in urine specimen [mass per unit volume concentration]","","","An assay for (-)-cotinine in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'(-)-cotinine'","","",""
"turbo:TURBO_3000008","Assay for digoxin in blood serum or blood plasma specimen [mass per unit volume concentration]","","","An assay for digoxin in blood serum or blood plasma specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","('blood serum specimen' or 'blood plasma specimen')","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'digoxin'","","",""
"turbo:TURBO_3000009","Assay for itraconazole in blood serum or blood plasma specimen [mass per unit volume concentration]","","","An assay for itraconazole in blood serum or blood plasma specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","('blood serum specimen' or 'blood plasma specimen')","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'itraconazole'","","",""
"turbo:TURBO_3000010","Assay for N-desmethylclozapine in blood serum or blood plasma specimen [mass per unit volume concentration]","","","An assay for N-desmethylclozapine in blood serum or blood plasma specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","('blood serum specimen' or 'blood plasma specimen')","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'N-desmethylclozapine'","","",""
"turbo:TURBO_3000011","Assay for adrenaline in urine specimen [mass per unit volume concentration]","","","An assay for adrenaline in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'adrenaline'","","",""
"turbo:TURBO_3000012","Assay for butalbital in urine specimen [mass per unit volume concentration]","","","An assay for butalbital in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'butalbital'","","",""
"turbo:TURBO_3000013","Assay for norfentanyl in urine specimen [mass per unit volume concentration]","","","An assay for norfentanyl in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'norfentanyl'","","",""
"turbo:TURBO_3000014","Assay for amobarbital in urine specimen [mass per unit volume concentration]","","","An assay for amobarbital in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'amobarbital'","","",""
"turbo:TURBO_3000015","Assay for oxycodone in urine specimen [mass per unit volume concentration]","","","An assay for oxycodone in urine specimen that generates a scalar datum with mass per unit volume concentration units","","","","Mark Andrew Miller, ORCID:0000-0001-9076-6066|Chris Stoeckert","","https://github.com/obi-ontology/obi/issues/1153","subclass","","assay","","","'urine specimen'","","","","","","'scalar measurement datum' and ('has measurement unit label' some 'mass per unit volume')","'oxycodone'","","",""
