PartNumber,PartDisplayName,label.axiom,text.for.label,pure.obo,single.term,iris,PartTypeName,Status,note,o
LP14564-6,Cotinine,'(-)-cotinine',(-)-cotinine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_68641,COMPONENT,ACTIVE,NA,(-)-cotinine
LP16128-8,ePHEDrine,'(-)-ephedrine',(-)-ephedrine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_15407,COMPONENT,ACTIVE,NA,(-)-ephedrine
LP33074-3,Nervonate (C24:1),'(15Z)-tetracosenoic acid',(15Z)-tetracosenoic acid,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_44247,COMPONENT,ACTIVE,NA,(15Z)-tetracosenoic acid
LP18425-6,4-Hydroxyphenylpyruvate,'(4-hydroxyphenyl)pyruvic acid',(4-hydroxyphenyl)pyruvic acid,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_15999,COMPONENT,ACTIVE,NA,(4-hydroxyphenyl)pyruvic acid
LP15097-6,5-Hydroxyindoleacetate,'(5-hydroxyindol-3-yl)acetate',(5-hydroxyindol-3-yl)acetate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_62622,COMPONENT,ACTIVE,NA,(5-hydroxyindol-3-yl)acetate
LP33076-8,Mead acid (C20:3w9),"'(5Z,8Z,11Z)-icosatrienoic acid'","(5Z,8Z,11Z)-icosatrienoic acid",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_72865,COMPONENT,ACTIVE,NA,"(5Z,8Z,11Z)-icosatrienoic acid"
LP19330-7,3-Hydroxyoleoylcarnitine (C18:1-OH),'(9Z)-3-hydroxyoctadecenoylcarnitine',(9Z)-3-hydroxyoctadecenoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73076,COMPONENT,ACTIVE,NA,(9Z)-3-hydroxyoctadecenoylcarnitine
LP15446-5,Bilirubin.glucuronidated,'(glucosyluronic acid)bilirubin',(glucosyluronic acid)bilirubin,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_22872,COMPONENT,ACTIVE,NA,(glucosyluronic acid)bilirubin
LP100616-4,1-Hydroxymidazolam,'1-hydroxymidazolam',1-hydroxymidazolam,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_145330,COMPONENT,ACTIVE,NA,1-hydroxymidazolam
LP15279-0,1-Methylhistidine,'1-methylhistidine',1-methylhistidine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_70958,COMPONENT,ACTIVE,NA,1-methylhistidine
LP71397-1,"1,5-Anhydroglucitol","'1,5-anhydro-D-glucitol'","1,5-anhydro-D-glucitol",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_16070,COMPONENT,ACTIVE,NA,"1,5-anhydro-D-glucitol"
LP15252-7,11-Deoxycortisol,'11-deoxycortisol',11-deoxycortisol,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28324,COMPONENT,ACTIVE,NA,11-deoxycortisol
LP14468-0,Carboxy tetrahydrocannabinol,'11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol',11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_77273,COMPONENT,ACTIVE,NA,11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol
LP33554-4,14-3-3 protein,'14-3-3 protein',14-3-3 protein,TRUE,TRUE,http://purl.obolibrary.org/obo/PR_000003237,COMPONENT,ACTIVE,NA,14-3-3 protein
LP17185-7,17-Ketosteroids,'17-oxo steroid',17-oxo steroid,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_19168,COMPONENT,ACTIVE,NA,17-oxo steroid
LP17184-0,17-Hydroxypregnenolone,'17alpha-hydroxypregnenolone',17alpha-hydroxypregnenolone,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28750,COMPONENT,ACTIVE,NA,17alpha-hydroxypregnenolone
LP14974-7,17-Hydroxyprogesterone,'17alpha-hydroxyprogesterone',17alpha-hydroxyprogesterone,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_17252,COMPONENT,ACTIVE,NA,17alpha-hydroxyprogesterone
LP15385-5,Androstanolone,'17beta-hydroxy-5alpha-androstan-3-one',17beta-hydroxy-5alpha-androstan-3-one,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_16330,COMPONENT,ACTIVE,NA,17beta-hydroxy-5alpha-androstan-3-one
LP15354-1,Alpha aminoadipate,'2-aminoadipate(2-)',2-aminoadipate(2-),TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_84981,COMPONENT,ACTIVE,NA,2-aminoadipate(2-)
LP35885-0,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP)","'2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine'","2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_80645,COMPONENT,ACTIVE,NA,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine"
LP15365-7,Alpha ketoglutarate,'2-oxoglutarate(2-)',2-oxoglutarate(2-),TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_16810,COMPONENT,ACTIVE,NA,2-oxoglutarate(2-)
LP6924-7,24 hours,'24 hour sample collection objective',,FALSE,TRUE,http://transformunify.org/ontologies/TURBO_0010724,TIME,ACTIVE,NA,24 hour sample collection objective
LP40352-4,25-hydroxyvitamin D2,'25-hydroxyvitamin D2',25-hydroxyvitamin D2,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_86319,COMPONENT,ACTIVE,NA,25-hydroxyvitamin D2
LP15432-5,Beta aminoisobutyrate,'3-aminoisobutyrate',3-aminoisobutyrate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_49096,COMPONENT,ACTIVE,NA,3-aminoisobutyrate
LP19324-0,3-Hydroxytetradecenoylcarnitine (C14:1-OH),'3-Hydroxy-cis-5-tetradecenoylcarnitine',3-Hydroxy-cis-5-tetradecenoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_89748,COMPONENT,ACTIVE,NA,3-Hydroxy-cis-5-tetradecenoylcarnitine
LP15436-6,Beta hydroxybutyrate,'3-hydroxybutyrate',3-hydroxybutyrate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_37054,COMPONENT,ACTIVE,NA,3-hydroxybutyrate
LP28984-0,3-Hydroxydodecanoylcarnitine (C12-OH),'3-hydroxydodecanoylcarnitine',3-hydroxydodecanoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73056,COMPONENT,ACTIVE,NA,3-hydroxydodecanoylcarnitine
LP19326-5,3-Hydroxypalmitoylcarnitine (C16-OH),'3-hydroxyhexadecanoylcarnitine',3-hydroxyhexadecanoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73070,COMPONENT,ACTIVE,NA,3-hydroxyhexadecanoylcarnitine
LP19309-1,3-Hydroxyisovalerylcarnitine (C5-OH),'3-hydroxyisovalerylcarnitine',3-hydroxyisovalerylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73027,COMPONENT,ACTIVE,NA,3-hydroxyisovalerylcarnitine
LP19329-9,3-Hydroxylinoleoylcarnitine (C18:2-OH),'3-hydroxylinoleoylcarnitine',3-hydroxylinoleoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73075,COMPONENT,ACTIVE,NA,3-hydroxylinoleoylcarnitine
LP33294-7,3-Hydroxystearoylcarnitine (C18-OH),'3-hydroxyoctadecanoylcarnitine',3-hydroxyoctadecanoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73077,COMPONENT,ACTIVE,NA,3-hydroxyoctadecanoylcarnitine
LP28990-7,3-Hydroxytetradecanoylcarnitine (C14-OH),'3-hydroxytetradecanoylcarnitine',3-hydroxytetradecanoylcarnitine,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_73063,COMPONENT,ACTIVE,NA,3-hydroxytetradecanoylcarnitine
LP18410-8,2-Oxoisovalerate,'3-methyl-2-oxobutanoate',3-methyl-2-oxobutanoate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_11851,COMPONENT,ACTIVE,NA,3-methyl-2-oxobutanoate
LP18407-4,"2-Oxo,3-Methylvalerate",'3-methyl-2-oxovalerate',3-methyl-2-oxovalerate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_28654,COMPONENT,ACTIVE,NA,3-methyl-2-oxovalerate
LP18612-9,Methylenedioxymethamphetamine,"'3,4-methylenedioxymethamphetamine'","3,4-methylenedioxymethamphetamine",TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_1391,COMPONENT,ACTIVE,NA,"3,4-methylenedioxymethamphetamine"
LP18423-1,4-Hydroxyphenylacetate,'4-hydroxyphenylacetate',4-hydroxyphenylacetate,TRUE,TRUE,http://purl.obolibrary.org/obo/CHEBI_48999,COMPONENT,ACTIVE,NA,4-hydroxyphenylacetate
