ontology,count,priority
bto,26,22
chebi,39,2
cl,30,3
clo,2,21
cmo,3,26
co_320,2,32
doid,1,8
dron,10,11
edam,1,30
efo,15,27
fma,31,9
fobi,2,29
foodon,17,13
fypo,1,42
gaz,13,36
go,17,7
hp,3,6
idomal,1,24
lbo,1,41
ma,1,23
mod,1,18
mondo,2,10
mp,5,16
ncbitaxon,137,5
ncit,222,38
nomen,6,34
oarcs,1,39
oba,1,19
obi,2,17
ogg,1,15
omit,99,25
ordo,2,31
peco,1,40
plana,2,33
pr,32,1
scdo,4,44
so,1,12
spd,2,43
tgma,8,46
tto,4,45
uberon,3,4
vto,4,20
xao,6,35
xco,15,14
zeco,1,28
zfa,34,37
