g,s,label
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002522,adrenal gland specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002500,amniotic fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002542,aorta specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002543,atrial appendage specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002501,bile specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen
http://purl.obolibrary.org/obo/merged/ECO,http://purl.obolibrary.org/obo/OBI_0002516,brain specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002516,brain specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002523,breast specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002538,cerebellum specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002536,cerebral cortex specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002533,colon specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002540,coronary artery specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002531,cortex of kidney specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002504,digestive system fluid or secretion specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002544,esophagogastric junction specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002532,esophagus mucosa specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002535,esophagus muscularis mucosa specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002503,feces specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002517,hair specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002520,heart specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002545,ileum specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002546,liver specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002534,lung specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002505,milk specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002547,minor salivary gland specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002548,omentum specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002549,ovary specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002527,pancreas specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002506,pericardial fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002514,peritoneal fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002529,pituitary gland specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002513,placenta specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002515,pleural fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002518,prostate gland specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002521,renal medulla specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002507,saliva specimen
http://purl.obolibrary.org/obo/merged/BCO,http://purl.obolibrary.org/obo/OBI_0000671,sample from organism
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002550,sigmoid colon specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002519,skeletal muscle tissue specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002526,skin of body specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002541,spleen specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002508,sputum specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002528,stomach specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002551,suprapubic skin specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002509,sweat specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002510,synovial fluid specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002552,testis specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002537,thyroid gland specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002525,tibial artery specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002539,tibial nerve specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002524,urinary bladder specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002553,uterus specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002554,vagina specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0002511,vitreous humor specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBIB_0000039,blood specimen on blood spot card
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/OBI_0001479,tissue specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_1000049,whole mount tissue
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_1000049,whole mount tissue
http://purl.obolibrary.org/obo/merged/OMIABIS,http://purl.obolibrary.org/obo/OBI_1000049,whole mount tissue
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002522,adrenal gland specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002522,adrenal gland specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002500,amniotic fluid specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002500,amniotic fluid specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002542,aorta specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002542,aorta specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002543,atrial appendage specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002501,bile specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002501,bile specimen
http://purl.obolibrary.org/obo/merged/CIDO,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
http://purl.obolibrary.org/obo/merged/OBI,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
http://purl.obolibrary.org/obo/merged/OMIABIS,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
http://purl.obolibrary.org/obo/merged/OPMI,http://purl.obolibrary.org/obo/OBI_0000655,blood specimen
